metsNoComp	example_met	model_name	chebi_id	chebi_preferred	category
MAM01829	MAM01829g	fn2m2masn	CHEBI:32984	N4-{N-acetyl-β-D-glucosaminyl-(1→2)-α-D-mannosyl-(1→3)-[N-acetyl-β-D-glucosaminyl-(1→2)-α-D-mannosyl-(1→6)]-β-D-mannosyl-(1→4)-N-acetyl-β-D-glucosaminyl-(1→4)-[α-L-fucosyl-(1→6)]-N-acetyl-β-D-glucosaminyl}-L-asparagine	far-check-id
MAM01833	MAM01833c	formate	CHEBI:30751	formic acid	far-check-id
MAM01866	MAM01866c	G00006	CHEBI:37633	(α-D-mannosyl)4-β-D-mannosyldiacetylchitobiosyldiphosphodolichol	far-check-id
MAM01922	MAM01922c	gamma-butyrobetaine	CHEBI:16244	4-(trimethylammonio)butanoate	far-check-id
MAM01932	MAM01932c	gamma-linolenate	CHEBI:28661	γ-linolenic acid	far-check-id
MAM01959	MAM01959c	globoside	CHEBI:18259	N-acetyl-β-D-galactosaminyl-(1→3)-α-D-galactosyl-(1→4)-β-D-galactosyl-(1→4)-β-D-glucosylceramide	far-check-id
MAM01961	MAM01961c	glucono-1,5-lactone-6-phosphate	CHEBI:16938	6-O-phosphono-D-glucono-1,5-lactone	far-check-id
MAM01982	MAM01982c	glycerate	CHEBI:32398	D-glyceric acid	far-check-id
MAM01983	MAM01983c	glycerol	CHEBI:17522	alditol	far-check-id
MAM02039	MAM02039c	H+	CHEBI:24636	proton	far-check-id
MAM02096	MAM02096c	hepoxilin A3	CHEBI:15631	(5Z,9E,14Z)-(8ξ,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic acid	far-check-id
MAM02139	MAM02139l	hyaluronan biosynthesis, precursor 1	CHEBI:16126	3-(4-deoxy-β-D-gluc-4-enosyluronic acid)-N-acetyl-D-glucosamine	far-check-id
MAM02142	MAM02142m	hydracrylate	CHEBI:33404	3-hydroxypropionic acid	far-check-id
MAM02182	MAM02182c	isocaproic-aldehyde	CHEBI:17998	4-methylpentanal	far-check-id
MAM02200	MAM02200c	K+	CHEBI:26216	potassium atom	far-check-id
MAM02346	MAM02346c	lc3Cer	CHEBI:17103	N-acetyl-β-D-glucosaminyl-(1→3)-β-D-galactosyl-(1→4)-β-D-glucosylceramide(d18:1(4E))	far-check-id
MAM02350	MAM02350c	L-cysteate	CHEBI:21260	cysteic acid	far-check-id
MAM02385	MAM02385c	lignocerate	CHEBI:28866	tetracosanoic acid	far-check-id
MAM02403	MAM02403c	L-lactate	CHEBI:422	(S)-lactic acid	far-check-id
MAM02407	MAM02407c	L-metanephrine	CHEBI:144365	N2-[4-(indol-3-yl)butanoyl]-L-glutamine	far-check-id
MAM02450	MAM02450c	maltose	CHEBI:47937	α-D-glucosyl-(1→4)-α-D-mannose	far-check-id
MAM02484	MAM02484m	mitoACP	CHEBI:64479	O-(pantetheine-4'-phosphoryl)serine(1−) residue	far-check-id
MAM02485	MAM02485c	mitoApo-[ACP]	CHEBI:29999	L-serine residue	far-check-id
MAM02486	MAM02486m	mitooxidized thioredoxin	CHEBI:18191	thioredoxin disulfide	far-check-id
MAM02540	MAM02540c	N-acetylmethionine	CHEBI:165927	Tyr-Phe-Met	far-check-id
MAM02593	MAM02593c	nLc5Cer	CHEBI:16297	N-acetyl-β-D-glucosaminyl-(1→3)-β-D-galactosyl-(1→4)-N-acetyl-β-D-glucosaminyl-(1→3)-β-D-galactosyl-(1→4)-β-D-glucosylceramide	far-check-id
MAM02622	MAM02622c	normetanephrine	CHEBI:144308	Thuringione	far-check-id
MAM02659	MAM02659c	orotate	CHEBI:16742	orotic acid	far-check-id
MAM02661	MAM02661c	oxalate	CHEBI:16995	oxalic acid	far-check-id
MAM02683	MAM02683c	paragloboside	CHEBI:17006	β-D-galactosyl-(1→4)-N-acetyl-β-D-glucosaminyl-(1→3)-β-D-galactosyl-(1→4)-β-D-glucosylceramide	far-check-id
MAM02751	MAM02751c	Pi	CHEBI:18367	phosphate(3−)	far-check-id
MAM02772	MAM02772c	propanoate	CHEBI:30768	propionic acid	far-check-id
MAM02833	MAM02833c	retinoate	CHEBI:15367	all-trans-retinoic acid	far-check-id
MAM02875	MAM02875c	salsolinol	CHEBI:123715	N-[[(3R,9R,10S)-12-[(2R)-1-hydroxypropan-2-yl]-16-(methanesulfonamido)-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl]-N-methylcyclohexanecarboxamide	far-check-id
MAM02886	MAM02886c	selenide	CHEBI:16503	selane	far-check-id
MAM02906	MAM02906g	sialyl-T antigen	CHEBI:16565	α-N-acetylneuraminyl-(2→3)-β-D-galactosyl-(1→3)-N-acetyl-α-D-galactosaminyl group	far-check-id
MAM02912	MAM02912c	sn-glycerol-3-PC	CHEBI:16870	choline alfoscerate	far-check-id
MAM02938	MAM02938c	stearate	CHEBI:28842	octadecanoic acid	far-check-id
MAM02954	MAM02954c	TAG epoxide	CHEBI:28888	trichloroepoxyethane	far-check-id
MAM02957	MAM02957e	TAG-extraction	CHEBI:17855	triglyceride	far-check-id
MAM02960	MAM02960g	T-antigen	CHEBI:16117	β-D-galactosyl-(1→3)-N-acetyl-α-D-galactosaminyl group	far-check-id
MAM02983	MAM02983c	thiamin-P	CHEBI:37574	thiamine(1+) monophosphate(1−)	far-check-id
MAM02984	MAM02984c	thiamin-PP	CHEBI:9532	thiamine(1+) diphosphate	far-check-id
MAM02985	MAM02985c	thiamin-PPP	CHEBI:9534	thiamine(1+) triphosphate	far-check-id
MAM02992	MAM02992c	threonate	CHEBI:15908	L-threonic acid	far-check-id
MAM03022	MAM03022m	trans,cis-myristo-2,5-dienoyl-CoA	CHEBI:87701	(2E,5Z)-tetradecadienoyl-CoA(4−)	far-check-id
MAM03055	MAM03055c	trioxilin A3	CHEBI:15630	(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoic acid	far-check-id
MAM03124	MAM03124c	urocanate	CHEBI:30817	trans-urocanic acid	far-check-id
MAM03150	MAM03150c	xanthosine-5-phosphate	CHEBI:15652	5'-xanthylic acid	far-check-id
MAM03151	MAM03151c	xanthurenate	CHEBI:217069	Youbetaoufene B3	far-check-id
MAM03160	MAM03160l	GM4	CHEBI:27499	N-acetyl-α-neuraminosyl-(2→3)-β-D-galactosylceramide	far-check-id
MAM03353	MAM03353r	Tetracosa-9,12,15,18,21-All-Cis-Pentaenoyl Coenzyme A	CHEBI:63543	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	far-check-id
MAM03368	MAM03368c	24-Oxo-25(R)-Trihydroxycoprostanoyl Coenzyme A	CHEBI:27379	3α,7α,12α-trihydroxy-24-oxo-5β-cholestan-26-oyl-CoA	far-check-id
MAM03522	MAM03522m	Cis2Trans4Decadienoyl Coenzyme A	CHEBI:137593	(2E,4Z)-deca-2,4-dienoyl-CoA(4−)	far-check-id
MAM03550	MAM03550e	C12:0-Ethanolamide, Didecanoyl Ethanolamide	CHEBI:85263	N-(dodecanoyl)ethanolamine	far-check-id
MAM03558	MAM03558e	Docosahexaenoyl Ethanolamide	CHEBI:134165	N-acylethanolamine 22:6	far-check-id
MAM03561	MAM03561e	Docosatetraenoyl Ethanolamide (22:4, Delta 7, 10, 13, 16)	CHEBI:34478	7,10,13,16-Docosatetraenoylethanolamine	far-check-id
MAM03626	MAM03626c	Glycylleucine	CHEBI:185298	2-{3b-[5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyloxy)-3,4-dihydro-2H-1-benzopyran-2-yl]-5,7,8a-trihydroxy-1,6,8-trioxo-1H,3ah,3BH,6H,8H,8ah-cyclopenta[a]inden-3-yl}-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-3-yl 3,4,5-trihydroxybenzoate	far-check-id
MAM03649	MAM03649e	Heptadecanoyl Thanolamide (C17:0)	CHEBI:165587	Margaroyl-EA	far-check-id
MAM03652	MAM03652e	Hexadecenoyl Ethanolamide, C16:1-Ethanolamide (Delta 9)	CHEBI:71465	palmitoleoyl ethanolamide	far-check-id
MAM03685	MAM03685c	Hyocholic acid; gamma-Muricholate	CHEBI:81244	hyocholic acid	far-check-id
MAM03851	MAM03851e	Pectin	CHEBI:47954	β-D-galacturonic acid	far-check-id
MAM03922	MAM03922c	Suberyl Coenzyme A	CHEBI:76317	octanedioyl-CoA(5−)	far-check-id
MAM03924	MAM03924c	Sebacoyl Coenzyme A	CHEBI:76316	decanedioyl-CoA(5−)	far-check-id
MAM03996	MAM03996c	Taurohyocholic acid; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine	CHEBI:52022	taurohyocholic acid	far-check-id
MAM10008	MAM10008c	protein C terminal	CHEBI:33711	C-terminal amino-acid residue	far-check-id
MAM10009	MAM10009c	protein N terminal	CHEBI:33712	N-terminal amino-acid residue	far-check-id
MAM10023	MAM10023c	dehydrocholic acid	CHEBI:137881	3,7,12-trioxo-5β-cholan-24-oate	far-check-id
MAM20061	MAM20061c	epsilon-(gamma-L-Glutamyl)-L-lysine	CHEBI:133752	ε-(γ-glutamyl)lysine dizwitterion	far-check-id
MAM20084	MAM20084m	4Fe4S iron-sulfur cluster	CHEBI:33722	tetra-μ3-sulfido-tetrairon(2+)	far-check-id
MAM20085	MAM20085m	2Fe2S iron-sulfur cluster	CHEBI:33737	di-μ-sulfido-diiron(2+)	far-check-id
MAM20086	MAM20086m	GSSH	CHEBI:52857	S-sulfanylglutathione	far-check-id
MAM00002	MAM00002c	(+)-alpha-pinene	CHEBI:36740	α-pinene	moderate
MAM00003	MAM00003c	(10Z)-heptadecenoic acid	CHEBI:78990	(10Z)-heptadecenoate	moderate
MAM00008	MAM00008c	(11Z,14Z)-eicosadienoic acid	CHEBI:77220	(11Z,14Z)-icosadienoate	moderate
MAM00017	MAM00017c	(13Z)-eicosenoic acid	CHEBI:134479	(Z)-icos-13-enoic acid	moderate
MAM00019	MAM00019c	(13Z)-octadecenoic acid	CHEBI:82618	(13Z)-octadecenoate	moderate
MAM00021	MAM00021c	(13Z,16Z)-docosadienoic acid	CHEBI:77806	(13Z,16Z)-docosadienoate	moderate
MAM00036	MAM00036x	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	CHEBI:52050	(24R,25R)-3α,7α,12α,24-tetrahydroxy-5β-cholestan-26-oyl-CoA	moderate
MAM00037	MAM00037x	(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	CHEBI:27403	3α,7α,24-trihydroxy-5β-cholestan-26-oyl-CoA	moderate
MAM00046	MAM00046m	(2E)-heptadecenoyl-CoA	CHEBI:77551	trans-2-heptadecenoyl-CoA(4−)	moderate
MAM00071	MAM00071m	(2E)-undecenoyl-CoA	CHEBI:77548	trans-2-undecenoyl-CoA(4−)	moderate
MAM00077	MAM00077c	(2R)-pristanic acid	CHEBI:51340	pristanic acid	moderate
MAM00117	MAM00117c	(7Z)-tetradecenoic acid	CHEBI:53206	cis-tetradec-7-enoic acid	moderate
MAM00157	MAM00157c	(R)-3-hydroxybutanoate	CHEBI:17066	(R)-3-hydroxybutyric acid	moderate
MAM00179	MAM00179c	(S)-3-sulfolactate	CHEBI:16712	(S)-3-sulfolactic acid	moderate
MAM00180	MAM00180c	(S)-dihydroorotate	CHEBI:17025	(S)-dihydroorotic acid	moderate
MAM00270	MAM00270c	10-HETE	CHEBI:34306	20-HETE	moderate
MAM00373	MAM00373e	15(R)-HEPE	CHEBI:90819	15(R)-HEPE(1−)	moderate
MAM00403	MAM00403c	16-hydroxyhexadecanoic acid	CHEBI:55329	16-hydroxyhexadecanoate	moderate
MAM00550	MAM00550x	1-palmitoyl-dihydroxyacetone-phosphate	CHEBI:17868	1-palmitoylglycerone 3-phosphate	moderate
MAM00556	MAM00556c	1-piperideine-6-carboxylate	CHEBI:49015	1-piperideine-6-carboxylic acid	moderate
MAM00564	MAM00564r	2(S)-pristanal	CHEBI:49189	pristanal	moderate
MAM00579	MAM00579c	20alpha,22beta dihydroxycholesterol	CHEBI:1294	(20R,22R)-20,22-dihydroxycholesterol	moderate
MAM00580	MAM00580c	20alpha-hydroxy-4-pregnen-3-one	CHEBI:36729	(20R)-20-hydroxypregn-4-en-3-one	moderate
MAM00596	MAM00596x	20-hydroxy-LTE4	CHEBI:28700	20-hydroxy-leukotriene E4	moderate
MAM00606	MAM00606m	22beta-hydroxycholesterol	CHEBI:1301	(22S)-22-hydroxycholesterol	moderate
MAM00634	MAM00634c	2-aminomuconate	CHEBI:16886	2-aminomuconic acid	moderate
MAM00639	MAM00639c	2-deoxy-D-ribose-1-phosphate	CHEBI:28542	2-deoxy-D-ribofuranose 1-phosphate	moderate
MAM00643	MAM00643c	2-hydroxy-3-(4-hydroxyphenyl)propenoate	CHEBI:27683	2-hydroxy-3-(4-hydroxyphenyl)prop-2-enoic acid	moderate
MAM00648	MAM00648c	2-hydroxybutyrate	CHEBI:1148	2-hydroxybutyric acid	moderate
MAM00653	MAM00653c	2-hydroxyglutarate	CHEBI:17084	2-hydroxyglutaric acid	moderate
MAM00654	MAM00654c	2-hydroxyphenylacetate	CHEBI:28478	(2-hydroxyphenyl)acetic acid	moderate
MAM00665	MAM00665c	2-methylcitrate	CHEBI:30835	2-methylcitric acid	moderate
MAM00670	MAM00670c	2-oxoadipate	CHEBI:15753	2-oxoadipic acid	moderate
MAM00672	MAM00672c	2-oxoglutaramate	CHEBI:30882	2-oxoglutaramic acid	moderate
MAM00729	MAM00729c	3,4-dihydroxyphenylacetate	CHEBI:41941	(3,4-dihydroxyphenyl)acetic acid	moderate
MAM00734	MAM00734c	3,5,3-triiodothyronine-4-sulfate	CHEBI:35432	3,3',5-triiodo-L-thyronine sulfate	moderate
MAM00750	MAM00750c	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al	CHEBI:48940	(25R)-3α,7α,12α-trihydroxy-5β-cholestan-26-al	moderate
MAM00751	MAM00751m	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al	CHEBI:48940	(25R)-3α,7α,12α-trihydroxy-5β-cholestan-26-al	moderate
MAM00752	MAM00752c	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate	CHEBI:48043	(25R)-3α,7α,12α-trihydroxy-5β-cholestan-26-oic acid	moderate
MAM00754	MAM00754x	3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl coa	CHEBI:28533	3α,7α-dihydroxy-24-oxo-5β-cholestan-26-oyl-CoA	moderate
MAM00758	MAM00758c	3alpha,7alpha-dihydroxy-5beta-cholestanate	CHEBI:48467	(25R)-3α,7α-dihydroxy-5β-cholestan-26-oic acid	moderate
MAM00760	MAM00760c	3-amino-propanal	CHEBI:58374	3-ammoniopropanal	moderate
