MetID	Name	Fromula	Charge	Comp	KEGG	PubChem	CHEBI	MetaCyc	MetaNetx
MAM20073g	N-(9Z-octadecenoyl)-sphing-4-enine	C36H69NO3	0	g			CHEBI:77996		MNXM46121
MAM01778g	elaidate	C18H33O2	-1	g	C00712	5460221	CHEBI:30823		MNXM1107708
MAM20074r	N-(9Z-octadecenoyl)-sphinganine	C36H71NO3	0	r			CHEBI:74100		MNXM46086
MAM20074g	N-(9Z-octadecenoyl)-sphinganine	C36H71NO3	0	g			CHEBI:74100		MNXM46086
MAM20072r	N-(9Z-octadecenoyl)-(4R)-hydroxysphinganine	C36H71NO4	0	r			CHEBI:85204		MNXM147178
MAM20072g	N-(9Z-octadecenoyl)-(4R)-hydroxysphinganine	C36H71NO4	0	g			CHEBI:85204		MNXM147178
MAM01806m	farnesyl-PP	C15H25O7P2	-3	m			CHEBI:175763		MNXM1103344
MAM20064m	Fe(II)-heme o	C49H56FeN4O5	-2	m			CHEBI:60530		MNXM1107744
MAM20064c	Fe(II)-heme o	C49H56FeN4O5	-2	c			CHEBI:60530		MNXM1107744
MAM01806n	farnesyl-PP	C15H25O7P2	-3	n			CHEBI:175763		MNXM1103344
MAM02049n	heme	C34H30FeN4O4	-2	n			CHEBI:60344		MNXM249
MAM20064n	Fe(II)-heme o	C49H56FeN4O5	-2	n			CHEBI:60530		MNXM1107744
MAM03652c	"Hexadecenoyl Ethanolamide, C16:1-Ethanolamide (Delta 9)"	C18H37NO2	0	c			CHEBI:71464		MNXM107548
MAM03550c	"C12:0-Ethanolamide, Didecanoyl Ethanolamide"	C14H29NO2	0	c			CHEBI:85263		MNXM59819
MAM03977c	"C14:0-Ethanolamide, Tetradecanoyl Ethanolamide"	C16H33NO2	0	c			CHEBI:85262		MNXM62840
MAM20076n	N-hexadecanoylsphing-4-enine	C34H67NO3	0	c			CHEBI:72959		MNXM731444
MAM20075c	N-dodecanoylsphing-4-enine	C30H59NO3	0	c			CHEBI:72956		MNXM46112
MAM01657r	dehydrodolichol-diphosphate	C100H161O7P2	-3	r	C05859		CHEBI:136960		MNXM1137698
MAM01252n	acetate	C2H3O2	-1	n			CHEBI:30089		MNXM26
MAM01288n	ADP-ribose	C15H21N5O14P2	0	n			CHEBI:57967		MNXM1104545
MAM20061n	2-O-acetyl-ADP-D-ribose	C17H23N5O15P2	-2	n			CHEBI:83767		MNXM732228
MAM02583n	nicotinamide	C6H6N2O	0	n			CHEBI:17154		MNXM216
MAM20063n	alpha-NAD(+)	C21H26N7O14P2	-1	n			CHEBI:77017		MNXM166986
MAM20062n	3-O-acetyl-ADP-D-ribose	C17H23N5O15P2	-2	n			CHEBI:142723		MNXM117128
MAM20066c	menaquinol-4	C31H42O2	0	c			CHEBI:193091		MNXM819046
MAM20065c	menadiol	C11H10O2	0	c			CHEBI:6746		MNXM3658
MAM20066r	menaquinol-4	C31H42O2	0	r			CHEBI:193091		MNXM819046
MAM03590r	"2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate"	C20H33O7P2		r			CHEBI:58756		MNXM728266
MAM20065r	menadiol	C11H10O2	0	r			CHEBI:6746		MNXM3658
MAM20066g	menaquinol-4	C31H42O2	0	g			CHEBI:193091		MNXM819046
MAM02759g	PPi	HO7P2	-3	g			CHEBI:33019		MNXM11
MAM03590g	"2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate"	C20H33O7P2	-3	g			CHEBI:58756		MNXM728266
MAM20065g	menadiol	C11H10O2	0	g			CHEBI:6746		MNXM3658
MAM20066n	menaquinol-4	C31H42O2	0	n			CHEBI:193091		MNXM819046
MAM03590n	"2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate"	C20H33O7P2	-3	n			CHEBI:58756		MNXM728266
MAM20065n	menadiol	C11H10O2	0	n			CHEBI:6746		MNXM3658
MAM00767c	3-decaprenyl-4-hydroxybenzoate	C57H85O3	-1	c			CHEBI:84503		MNXM733937
MAM00995r	4-hydroxybenzoate	C7H5O3	-1	r			CHEBI:17879		MNXM164
MAM01316r	all-trans-decaprenyl-diphosphate	C50H81O7P2	-3	r			CHEBI:60721		MNXM731626
MAM00767r	3-decaprenyl-4-hydroxybenzoate	C57H85O3	-1	r			CHEBI:84503		MNXM733937
MAM00995g	4-hydroxybenzoate	C7H5O3	-1	g			CHEBI:17879		MNXM164
MAM01316g	all-trans-decaprenyl-diphosphate	C50H81O7P2	-3	g			CHEBI:60721		MNXM731626
MAM00767g	3-decaprenyl-4-hydroxybenzoate	C57H85O3	-1	g			CHEBI:84503		MNXM733937
MAM00995n	4-hydroxybenzoate	C7H5O3	-1	n			CHEBI:17879		MNXM164
MAM01316n	all-trans-decaprenyl-diphosphate	C50H81O7P2	-3	n			CHEBI:60721		MNXM731626
MAM00767n	3-decaprenyl-4-hydroxybenzoate	C57H85O3	-1	n			CHEBI:84503		MNXM733937
