MetID	Name	Fromula	Charge	Comp	KEGG	PubChem	CHEBI	MetaCyc	MetaNetx
MAM20015g	13,14-dihydro-15-oxo-prostaglandin E2	C20H31O5		g			CHEBI:57402		MNXM733372
MAM02555g	NADPH	C21H26N7O17P3	-4	g			CHEBI:57783		MNXM738702
MAM02554g	NADP+	C21H25N7O17P3		g			CHEBI:58349		MNXM5
MAM20016n	15-oxoprostaglandin E2	C20H29O5		n			CHEBI:57400		MNXM1619
MAM20017n	13,14-dihydro-15-oxo-prostaglandin E2	C20H31O5		n			CHEBI:57402		MNXM733372
MAM02554n	NADP+	C21H25N7O17P3		n			CHEBI:58349		MNXM5
MAM02751r	Pi	HO4P		r			CHEBI:43474		MNXM9
MAM01968r	glucose-6-phosphate	C6H11O9P	-2	r			CHEBI:61548		MNXM1105858
MAM20018r	19-hydroxy-(5Z,8Z,11Z)-eicosatrienoate	C20H33O3		r			CHEBI:132024		MNXM163133
MAM02039r	H+	H	1	r			CHEBI:15378		MNXM1
MAM20019r	FMNH2	C17H21N4O9P	-2	r			CHEBI:57618		MNXM1107623
MAM20020r	FMN	C17H18N4O9P	-3	r			CHEBI:58210		MNXM1105928
MAM02457r	mead acid	C20H33O2		r			CHEBI:78043		MNXM735122
MAM20021i	19-hydroxy-(5Z,8Z,11Z)-eicosatrienoate	C20H33O3		i			CHEBI:132024		MNXM163133
MAM02040i	H2O	H2O		i			CHEBI:15377		WATER
MAM02039i	H+	H	1	i			CHEBI:15378		MNXM1
MAM02630i	O2	O2		i			CHEBI:15379		MNXM735438
MAM20022i	FMNH2	C17H21N4O9P	-2	i			CHEBI:57618		MNXM1107623
MAM20023i	FMN	C17H18N4O9P	-3	i			CHEBI:58210		MNXM1105928
MAM02457i	mead acid	C20H33O2		i			CHEBI:78043		MNXM735122
MAM01784r	EPA	C20H29O2		r			CHEBI:58562		MNXM727959
MAM20024r	19-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate	C20H29O3		r			CHEBI:76636		MNXM146872
MAM01784i	EPA	C20H29O2		i			CHEBI:58562		MNXM727959
MAM20025i	19-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate	C20H29O3		i			CHEBI:76636		MNXM146872
MAM20026r	21-hydroxy-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate	C22H31O3		r			CHEBI:132025		MNXM35542
MAM01689r	DHA	C22H31O2		r			CHEBI:77016		MNXM7161
MAM20027i	21-hydroxy-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate	C22H31O3		i			CHEBI:132025		MNXM35542
MAM01689i	DHA	C22H31O2		i			CHEBI:77016		MNXM7161
MAM02344r	lauric acid	C12H23O2		r			CHEBI:18262		MNXM402
MAM20028r	11-hydroxydodecanoate	C12H23O3		r			CHEBI:76628		MNXM22530
MAM02344i	lauric acid	C12H23O2		i			CHEBI:18262		MNXM402
MAM20029i	11-hydroxydodecanoate	C12H23O3		i			CHEBI:76628		MNXM22530
MAM20030r	13-hydroxytetradecanoate	C14H27O3		r			CHEBI:132031		MNXM163120
MAM02494r	myristic acid	C14H27O2		r			CHEBI:30807		MNXM314
MAM20031i	13-hydroxytetradecanoate	C14H27O3		i			CHEBI:132031		MNXM163120
MAM02494i	myristic acid	C14H27O2		i			CHEBI:30807		MNXM314
MAM01019r	4-nitrocatechol	C6H4NO4		r			CHEBI:57730		MNXM1982
MAM02754r	PNP	C6H4NO3		r			CHEBI:57917		MNXM526
MAM02554r	NADP+	C21H25N7O17P3		r			CHEBI:58349		MNXM5
MAM01019i	4-nitrocatechol	C6H4NO4		i			CHEBI:57730		MNXM1982
MAM02555i	NADPH	C21H26N7O17P3	-4	i			CHEBI:57783		MNXM738702
MAM02754i	PNP	C6H4NO3		i			CHEBI:57917		MNXM526
MAM02554i	NADP+	C21H25N7O17P3		i			CHEBI:58349		MNXM5
MAM20032n	beta-D-galactose	C6H12O6	0	n			CHEBI:27667		MNXM112
MAM01910n	galactose	C6H12O6	0	n	C00984	439357	CHEBI:28061		MNXM1108175
MAM20033c	beta-D-galactose	C6H12O6	0	c			CHEBI:27667		MNXM112
MAM01388n	beta-D-glucose	C6H12O6	0	n			CHEBI:15903		MNXM1105026
MAM20034n	alpha-D-glucose	C6H12O6	0	n			CHEBI:17925		MNXM1105027
MAM20035c	alpha-D-glucose	C6H12O6	0	c			CHEBI:17925		MNXM1105027
MAM02554c	NADP+	C21H25N7O17P3		c			CHEBI:58349		MNXM5
MAM20036c	benzaldehyde	C7H6O		c			CHEBI:17169		MNXM371
MAM20037c	hexanal	C6H12O		c			CHEBI:88528		MNXM8718
MAM20038c	(E)-4-hydroxynon-2-enoate	C9H15O3	-1	c			CHEBI:142920		MNXM746911
MAM20039c	(2E)-octenoate	C8H13O2	-1	c			CHEBI:143526		MNXM1108529
MAM20040c	(2E)-octenal	C8H14O	0	c			CHEBI:61748		MNXM1108145
MAM01837c	formylglutathione	C11H16N3O7S		c			CHEBI:57688		MNXM741595
MAM02152c	hydroxymethylglutathione	C11H18N3O7S		c			CHEBI:58758		MNXM726277
MAM02116r	hexadecenal	C16H30O		r			CHEBI:17585		MNXM728262
MAM02552r	NAD+	C21H26N7O14P2		r			CHEBI:57540		MNXM8
MAM20041r	(E)-hexadec-2-enoate	C16H29O2		r			CHEBI:72745		MNXM31465
MAM02116c	hexadecenal	C16H30O		c			CHEBI:17585		MNXM728262
MAM20042c	(E)-hexadec-2-enoate	C16H29O2		c			CHEBI:72745		MNXM31465
MAM02674r	palmitate	C16H31O2	-1	r			CHEBI:7896		MNXM108
MAM20043r	22-oxodocosanoate	C22H41O3		r			CHEBI:76298		MNXM6762
MAM20044c	22-oxodocosanoate	C22H41O3		c			CHEBI:76298		MNXM6762
MAM00564r	2(S)-pristanal	C19H38O		r			CHEBI:49189		MNXM1947
MAM02766r	pristanic acid	C19H37O2		r			CHEBI:77268		MNXM3342
MAM00564c	2(S)-pristanal	C19H38O		c			CHEBI:49189		MNXM1947
MAM02766c	pristanic acid	C19H37O2		c			CHEBI:77268		MNXM3342
MAM20045r	octadecanal	C18H36O		r			CHEBI:17034		MNXM2269
MAM02938r	stearate	C18H35O2		r			CHEBI:25629		MNXM236
MAM20046c	octadecanal	C18H36O		c			CHEBI:17034		MNXM2269
MAM02938c	stearate	C18H35O2		c			CHEBI:25629		MNXM236
MAM20047r	dodecanal	C12H24O	0	r			CHEBI:27836		MNXM11432
MAM02344c	lauric acid	C12H23O2		c			CHEBI:18262		MNXM402
MAM20048c	dodecanal	C12H24O	0	c			CHEBI:27836		MNXM11432
MAM01648r	decanoic acid	C10H19O2	-1	r			CHEBI:27689		MNXM1043
MAM20049r	decanal	C10H20O		r			CHEBI:31457		MNXM7260
MAM01648c	decanoic acid	C10H19O2	-1	c			CHEBI:27689		MNXM1043
MAM20050c	decanal	C10H20O		c			CHEBI:31457		MNXM7260
MAM20051r	tetradecanal	C14H28O		r			CHEBI:84067		MNXM13002
MAM02494c	myristic acid	C14H27O2		c			CHEBI:30807		MNXM314
MAM20052c	tetradecanal	C14H28O		c			CHEBI:84067		MNXM13002
MAM20053r	octanal	C8H16O	0	r			CHEBI:17935		MNXM2705
MAM02642r	octanoic acid	C8H15O2		r			CHEBI:25646		MNXM750
MAM02108r	heptylic acid	C7H13O2		r			CHEBI:32362		MNXM7416
MAM20054r	heptanal	C7H14O		r			CHEBI:34787		MNXM8711
MAM02108c	heptylic acid	C7H13O2		c			CHEBI:32362		MNXM7416
MAM20055c	heptanal	C7H14O		c			CHEBI:34787		MNXM8711
MAM20056r	(2E,6E)-farnesoate	C15H23O2		r			CHEBI:83276		MNXM735429
MAM00677r	2-trans,6-trans-farnesal	C15H24O	0	r	C03461		CHEBI:15894		MNXM1959
MAM20057c	(2E,6E)-farnesoate	C15H23O2		c			CHEBI:83276		MNXM735429
MAM20058c	all-trans-4-hydroxyretinol	C20H30O2	0	c			CHEBI:132259		MNXM730551
MAM20059c	all-trans-4-hydroxyretinal	C20H28O2	0	c			CHEBI:139346		MNXM166395
MAM20060c	all-trans-4-oxoretinal	C20H26O2		c			CHEBI:139347		MNXM745787
MAM01032c	4-oxoretinol	C20H28O2		c			CHEBI:44597		MNXM735096
