# Date: 2018-10-19
metID	incorrectFormula	correctedFormula
m02947g	CC24FH45LLNOO10RSU	C24H45NO10SRCO
m02947l	CC24FH45LLNOO10RSU	C24H45NO10SRCO
m02954c	C2Cl3HO	C2HCl3O
m02959s	CCCC3FFFH5LLLLLLO2O2O2RR2R3UUU	C3H5RCO2R2CO2R3CO2
m02988c	HRS	HSR
m02990c	H2X	C6H10N2O2S2R4
m02990m	H2X	C6H10N2O2S2R4
m02990n	H2X	C6H10N2O2S2R4
m03042c	C8Cl3H10O7	C8H10Cl3O7
m03043c	C2Cl3H3O	C2H3Cl3O
m03044c	C2Cl3H	C2HCl3
m03044s	C2Cl3H	C2HCl3
m03048c	C13H25ORS	C13H25OSR
m03090c	CC58FH102LLN3OO31RU	C58H102N3O31RCO
m03090g	CC58FH102LLN3OO31RU	C58H102N3O31RCO
m03091c	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m03091g	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m03092g	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m03095g	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m03096c	CC78FH135LLN4OO45RU	C78H135N4O45RCO
m03096g	CC78FH135LLN4OO45RU	C78H135N4O45RCO
m03096s	CC78FH135LLN4OO45RU	C78H135N4O45RCO
m03097c	CC70FH122LLN3OO40RU	C70H122N3O40RCO
m03097g	CC70FH122LLN3OO40RU	C70H122N3O40RCO
m03098c	CC92FH158LLN5OO55RU	C92H158N5O55RCO
m03098g	CC92FH158LLN5OO55RU	C92H158N5O55RCO
m03098s	CC92FH158LLN5OO55RU	C92H158N5O55RCO
m03115c	C11H21ORS	C11H21OSR
m03133c	CC64FH112LLN3OO36RU	C64H112N3O36RCO
m03133g	CC64FH112LLN3OO36RU	C64H112N3O36RCO
m03137c	CC64FH112LLN3OO36RU	C64H112N3O36RCO
m03137g	CC64FH112LLN3OO36RU	C64H112N3O36RCO
m03138c	CC69FH118LLN4OO40RU	C69H118N4O40RCO
m03138g	CC69FH118LLN4OO40RU	C69H118N4O40RCO
m03138s	CC69FH118LLN4OO40RU	C69H118N4O40RCO
m00204x	HX	XH
m00228x	C2Cl2H2	C2H2Cl2
m00242x	Br2C2H4	C2H4Br2
m00516x	C10FH21LLNO5PRU	C10H21O5NPR
m00549x	C10FH21LLNO5PRU	C10H21O5NPR
m00626x	CC11FH23LLNO2O4PRU	C11H23O4NPRCO2
m00744x	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m00816x	C6H10NO5S2	C6H10O5S2N
m01244x	CC54FH90LLN3OO29RU	C54H90N3O29RCO
m01245x	CC65FH106LLN4OO37RU	C65H106N4O37RCO
m01361x	C62CoH93N13O15P	C62H93CoN13O15P
m01403x	BrC6H5	C6H5Br
m01418x	C23H33O4	C23H33O4  
m01665x	CCC37FFH70LLLLN3O2O2O34P3RR2UUX	C37H70N3O34P3RCO2R2CO2X
m01687x	CCC39FFH76LLLLN4O2O2O37P4RR2UUX	C39H76N4O37P4RCO2R2CO2X
m01695x	CC30FH55LLNOO15RSU	C30H55NO15SRCO
m01711x	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m01818x	CC20FH29LLOOR2U	C20H29OR2CO
m01850x	CC64FH112LLN3OO35RU	C64H112N3O35RCO
m01851x	CC70FH122LLN3OO40RU	C70H122N3O40RCO
m01852x	CC90FH155LLN4OO54RU	C90H155N4O54RCO
m01853x	CC76FH132LLN3OO44RU	C76H132N3O44RCO
m01859x	CC62FH109LLN2OO35RU	C62H109N2O35RCO
m01861x	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m01874x	CC62FH109LLN2OO35RU	C62H109N2O35RCO
m01883x	CC76FH132LLN3OO44RU	C76H132N3O44RCO
m01884x	CC70FH122LLN3OO41RU	C70H122N3O41RCO
m01887x	CC90FH155LLN4OO54RU	C90H155N4O54RCO
m01914x	CC56FH99LLN2OO31RU	C56H99N2O31RCO
m01915x	CC70FH122LLN3OO41RU	C70H122N3O41RCO
m01916x	CC96FH165LLN4OO60RU	C96H165N4O60RCO
m01917x	CC54FH96LLNOO32RU	C54H96NO32RCO
m01919x	CC64FH112LLN3OO37RU	C64H112N3O37RCO
m01944x	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01945x	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01959x	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01999x	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m02018x	CC99FH159LLN7OO62RU	C99H159N7O62RCO
m02019x	CC99FH159LLN7OO62RU	C99H159N7O62RCO
m02023x	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02024x	CC88FH143LLN6OO54RU	C88H143N6O54RCO
m02028x	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02049x	C34FeH30N4O4	C34H30FeN4O4
m02164x	CC64FH112LLN3OO36RU	C64H112N3O36RCO
m02198x	CC61FH105LLN3OO34RU	C61H105N3O34RCO
m02199x	CC61FH105LLN3OO34RU	C61H105N3O34RCO
m02331x	CC50FH89LLN2OO26RU	C50H89N2O26RCO
m02462x	CCC59FFH110LLLLN3O2O2O40P3RR2UUX	C59H110N3O40P3RCO2R2CO2X
m02902x	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m02903x	CC72FH121LLN4OO43RU	C72H121N4O43RCO
m03044x	C2Cl3H	C2HCl3
m03096x	CC78FH135LLN4OO45RU	C78H135N4O45RCO
m03098x	CC92FH158LLN5OO55RU	C92H158N5O55RCO
m03138x	CC69FH118LLN4OO40RU	C69H118N4O40RCO
m01451x	CC27FH45LLO2R2U	C27H45R2CO2
m00185m	HX	XH
m01427m	CCC12FFH17LLLLN3O11O2O2P2RR2UU	C12H17N3O11P2RCO2R2CO2
m02733m	CCC3FFH5LLLLO2O2O4PRR2UU	C3H5O4PRCO2R2CO2
m02715c	CCC6FFH12LLLLO2O2O6PRR2UU	C6H12O6PRCO2R2CO2
m01431s	CC18FH35LLNOO5PRU	C18H35NO5PRCO
m00240r	CCC3FFH6LLLLOO2O2RR2UU	C3H6ORCO2R2CO2
m02733n	CCC3FFH5LLLLO2O2O4PRR2UU	C3H5O4PRCO2R2CO2
m00240s	CCC3FFH6LLLLOO2O2RR2UU	C3H6ORCO2R2CO2
m02959c	CCCC3FFFH5LLLLLLO2O2O2RR2R3UUU	C3H5RCO2R2CO2R3CO2
m00656s	CC8FH19LLNO2O5PRU	C8H19NO5PRCO2
m00490s	CC3FH7LLO2O2R2U	C3H7O2R2CO2
m02715s	CCC6FFH12LLLLO2O2O6PRR2UU	C6H12O6PRCO2R2CO2
m02808s	CCC6FFH11LLLLNO2O2O6PRR2UU	C6H11NO6PRCO2R2CO2
m02733g	CCC3FFH5LLLLO2O2O4PRR2UU	C3H5O4PRCO2R2CO2
m02684m	CCC8FFH18LLLLNO2O2O4PRR2UU	C8H18NO4PRCO2R2CO2
m02717c	CCC6FFH11LLLLO2O2O9P2RR2UU	C6H11O9P2RCO2R2CO2
m00553r	CCC9FFH15LLLLO12O2O2P2RR2UU	C9H15O12P2RCO2R2CO2
m00551r	CCC9FFH14LLLLO15O2O2P3RR2UU	C9H14O15P3RCO2R2CO2
m02808g	CCC6FFH11LLLLNO2O2O6PRR2UU	C6H11NO6PRCO2R2CO2
m02808m	CCC6FFH11LLLLNO2O2O6PRR2UU	C6H11NO6PRCO2R2CO2
m02736m	CCC9FFH14LLLLO15O2O2P3RR2UU	C9H14O15P3RCO2R2CO2
m02734g	CCC9FFH13LLLLO18O2O2P4RR2UU	C9H13O18P4RCO2R2CO2
m02735g	CCC9FFH14LLLLO15O2O2P3RR2UU	C11H14O19P3R2
m02734r	CCC9FFH13LLLLO18O2O2P4RR2UU	C9H13O18P4RCO2R2CO2
m01679s	CC24FH46LLNOO7RU	C24H46NO7RCO
m01430s	CC18FH36LLNOO2RU	C18H36NO2RCO
m01679n	CC24FH46LLNOO7RU	C24H46NO7RCO
m01430n	CC18FH36LLNOO2RU	C18H36NO2RCO
m02736g	CCC9FFH14LLLLO15O2O2P3RR2UU	C9H14O15P3RCO2R2CO2
m02736r	CCC9FFH14LLLLO15O2O2P3RR2UU	C9H14O15P3RCO2R2CO2
m02735n	CCC9FFH14LLLLO15O2O2P3RR2UU	C11H14O19P3R2
m00552g	CCC9FFH15LLLLO12O2O2P2RR2UU	C9H15O12P2RCO2R2CO2
m02685n	CCC5FFH12LLLLNO2O2O4PRR2UU	C5H12NO4PRCO2R2CO2
m01600c	C72CoH100N18O17P	C72H100CoN18O17P
m01600s	C72CoH100N18O17P	C72H100CoN18O17P
m02750s	CCC9FFH16LLLLO2O2O9PRR2UU	C9H16O9PRCO2R2CO2
m02733s	CCC3FFH5LLLLO2O2O4PRR2UU	C3H5O4PRCO2R2CO2
m02908s	CC23FH48LLN2OO5PRU	C23H48N2O5PRCO
m01699r	CC18FH38LLNOO2RU	C18H38NO2RCO
m01699g	CC18FH38LLNOO2RU	C18H38NO2RCO
m01905l	CC38FH69LLN2OO17RU	C38H69N2O17RCO
m01904l	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01946l	CC60FH101LLN4OO33RU	C60H101N4O33RCO
m01943l	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m02014l	CC49FH85LLN3OO25RU	C49H85N3O25RCO
m02009l	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m01947s	CC52FH88LLN3OO28RU	C52H88N3O28RCO
m02015s	CC41FH72LLN2OO20RU	C41H72N2O20RCO
m01904s	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m02009s	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m02014s	CC49FH85LLN3OO25RU	C49H85N3O25RCO
m01947l	CC52FH88LLN3OO28RU	C52H88N3O28RCO
m02010s	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m01941s	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01943s	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m02030s	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m01946s	CC60FH101LLN4OO33RU	C60H101N4O33RCO
m01941n	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m02684n	CCC8FFH18LLLLNO2O2O4PRR2UU	C8H18NO4PRCO2R2CO2
m02908n	CC23FH48LLN2OO5PRU	C23H48N2O5PRCO
m01947m	CC52FH88LLN3OO28RU	C52H88N3O28RCO
m00240x	CCC3FFH6LLLLOO2O2RR2UU	C3H6ORCO2R2CO2
m00490x	CC3FH7LLO2O2R2U	C3H7O2R2CO2
m00656x	CC8FH19LLNO2O5PRU	C8H19NO5PRCO2
m01679x	CC24FH46LLNOO7RU	C24H46NO7RCO
m01904x	CC44FH79LLN2OO22RU	C44H79N2O22RCO
m01941x	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01943x	CC66FH111LLN4OO38RU	C66H111N4O38RCO
m01946x	CC60FH101LLN4OO33RU	C60H101N4O33RCO
m01947x	CC52FH88LLN3OO28RU	C52H88N3O28RCO
m02009x	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m02010x	CC55FH95LLN3OO30RU	C55H95N3O30RCO
m02014x	CC49FH85LLN3OO25RU	C49H85N3O25RCO
m02015x	CC41FH72LLN2OO20RU	C41H72N2O20RCO
m02030x	CC77FH127LLN5OO46RU	C77H127N5O46RCO
m02684x	CCC8FFH18LLLLNO2O2O4PRR2UU	C8H18NO4PRCO2R2CO2
m02685x	CCC5FFH12LLLLNO2O2O4PRR2UU	C5H12NO4PRCO2R2CO2
m02715x	CCC6FFH12LLLLO2O2O6PRR2UU	C6H12O6PRCO2R2CO2
m02750x	CCC9FFH16LLLLO2O2O9PRR2UU	C9H16O9PRCO2R2CO2
m02808x	CCC6FFH11LLLLNO2O2O6PRR2UU	C6H11NO6PRCO2R2CO2
m02901x	C23Cl2H25N3O9S	C23H25Cl2N3O9S
m02908x	CC23FH48LLN2OO5PRU	C23H48N2O5PRCO
m02959x	CCCC3FFFH5LLLLLLO2O2O2RR2R3UUU	C3H5RCO2R2CO2R3CO2
m01430x	CC18FH36LLNOO2RU	C18H36NO2RCO
m01431x	CC18FH35LLNOO5PRU	C18H35NO5PRCO
m01600x	C72CoH100N18O17P	C72H100CoN18O17P
m01972x	CC24FH46LLNOO7RU	C24H46NO7RCO
m02733x	CCC3FFH5LLLLO2O2O4PRR2UU	C3H5O4PRCO2R2CO2
m00198x	HX	XH
m00205x	HX	XH
m01598x	C62CoH88N13O14P	C62H88CoN13O14P
m01599x	C62CoH92N13O14P	C62H92CoN13O14P
m02735x	CCC9FFH14LLLLO15O2O2P3RR2UU	C11H14O19P3R2
