# Date: 2019-11-22
mets	nameOrig	nameNew	formulaOrig	formulaNew	chargeOrig	chargeNew	notes
m00161c	(R)-3-hydroxyoctanoyl-[ACP]	(R)-3-hydroxyoctanoyl-[ACP]	C8H15O2SR	C19H35N2O9PRS	0	-1	
m00162c	(R)-3-hydroxypalmitoyl-[ACP]	(R)-3-hydroxypalmitoyl-[ACP]	C16H31O2SR	C27H51N2O9PRS	0	-1	
m00186c	[apotransferin]	[apotransferin]	X	C3389H5282N934O1021S50	0	0	
m00186l	[apotransferin]	[apotransferin]	X	C3389H5282N934O1021S50	0	0	
m00186s	[apotransferin]	[apotransferin]	X	C3389H5282N934O1021S50	0	0	
m00186x	[apotransferin]	[apotransferin]	X	C3389H5282N934O1021S50	0	0	
m00188c	[methionine synthase]-cob(II)alamin	[methionine synthase]-cob(II)alamin	C62H89CoN13O14P.C7H8N4O2R2	C69H97CoN17O16PR2	0	0	
m00189c	[methionine synthase]-methylcob(I)alamin	[methionine synthase]-methylcob(I)alamin	C63H92CoN13O14P.C7H8N4O2R2	C70H100CoN17O16PR2	0	0	
m00191c	[myosin light chain]-phosphate	[myosin light chain]-phosphate	C20H24N10O16P3	C4H6N2O6PR2	-2	-1	
m00192c	[phosphorylase A]	[phosphorylase A]	X	O12P4X2	0	-4	
m00194c	[protein C terminal]-S-farnesyl-L-cysteine	[protein C terminal]-S-farnesyl-L-cysteine	C20H33N2O3SR(C2H2NOR)n	C19H29NO3SR	0	-1	
m00195c	[protein C terminal]-S-farnesyl-L-cysteine-methyl ester	[protein C terminal]-S-farnesyl-L-cysteine-methyl ester	C21H35N2O3SR(C2H2NOR)n	C20H32NO3SR	0	0	
m00196c	[protein]	[protein]	C2H4NO2R(C2H2NOR)n	X	0	0	
m00196r	(ADDED)	[protein]		X	0	0	
m00197c	[protein]-L-arginine	[protein]-L-arginine	C6H12N4O	C7H14N5O2R2	0	1	
m00199c	[protein]-L-citrulline	[protein]-L-citrulline	C6H11N3O2	C7H12N4O3R2	0	0	
m00200c	[protein]-L-cysteine	[protein]-L-cysteine	C3H5NOS	C4H6N2O2SR2	0	0	
m00201c	[protein]-L-glutamine	[protein]-L-glutamine	C5H8N2O2	C6H9N3O3R2	0	0	
m00204c	[protein]-L-lysine	[protein]-L-lysine	XH	C7H14N3O2R2	0	1	
m00204n	[protein]-L-lysine	[protein]-L-lysine	XH	C7H14N3O2R2	0	1	
m00204s	[protein]-L-lysine	[protein]-L-lysine	XH	C7H14N3O2R2	0	1	
m00204x	[protein]-L-lysine	[protein]-L-lysine	XH	C7H14N3O2R2	0	1	
m00206c	[protein]-L-tyrosine	[protein]-L-tyrosine	C9H9NO2	C10H10N2O3R2	0	0	
m00208c	[protein]-N6-(dihydrolipoyl)lysine	[protein]-N6-(dihydrolipoyl)lysine	C8H16NOS2R	C1375H2187N381O420S6	0	0	
m00209c	[protein]-N6-(lipoyl)lysine	[protein]-N6-(lipoyl)lysine	C8H14NOS2R	C1375H2185N381O420S6	0	0	
m00210c	[protein]-N6-(octanoyl)lysine	[protein]-N6-(octanoyl)lysine	C8H16NOR	C1375H2187N381O420S4	0	0	
m00211c	[protein]-N6,N6,N6-trimethyl-L-lysine	[protein]-N6,N6,N6-trimethyl-L-lysine	C3H10X	C10H20N3O2R2	3	1	
m00211n	[protein]-N6,N6,N6-trimethyl-L-lysine	[protein]-N6,N6,N6-trimethyl-L-lysine	C3H10X	C10H20N3O2R2	3	1	
m00211r	[protein]-N6,N6,N6-trimethyl-L-lysine	[protein]-N6,N6,N6-trimethyl-L-lysine	C3H10X	C10H20N3O2R2	3	1	
m00212c	[protein]-N6,N6-dimethyl-L-lysine	[protein]-N6,N6-dimethyl-L-lysine	C2H7X	C9H18N3O2R2	2	1	
m00212n	[protein]-N6,N6-dimethyl-L-lysine	[protein]-N6,N6-dimethyl-L-lysine	C2H7X	C9H18N3O2R2	2	1	
m00213c	[protein]-N6-methyl-L-lysine	[protein]-N6-methyl-L-lysine	C8H15N3O2R2	C8H16N3O2R2	0	1	
m00214c	[protein]-N-ubiquityllysine	[protein]-N-ubiquityllysine	X	C8H13N3O3R3	0	0	
m00215c	[protein]-omega-N-(ADP-D-ribosyl)-L-arginine	[protein]-omega-N-(ADP-D-ribosyl)-L-arginine	C22H34N10O15P2R2	C22H33N10O15P2R2	0	-1	
m00217c	[protein]-tyrosine-O-sulfate	[protein]-tyrosine-O-sulfate	C10H10N2O6SR2	C10H9N2O6R2S	0	-1	
m00218c	[protein]-tyrosine-phosphate	[protein]-tyrosine-phosphate	C10H11N2O6PR2	C10H9N2O6PR2	0	-2	
m00229c	1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal	1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal	C17H16O8	C17H15O8	0	-1	
m00232c	1,2-D-glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen	1,2-D-glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen	C19H33N3O13R2	C19H34N3O13R2	0	1	
m00235g	(ADDED)	1,2-diacylglycerol-LD-PC pool		C5H6O5R2	0	0	
m00235n	(ADDED)	1,2-diacylglycerol-LD-PC pool		C5H6O5R2	0	0	
m00235s	(ADDED)	1,2-diacylglycerol-LD-PC pool		C5H6O5R2	0	0	
m00235x	(ADDED)	1,2-diacylglycerol-LD-PC pool		C5H6O5R2	0	0	
m00237n	(ADDED)	1,2-diacylglycerol-LD-PI pool		C5H6O5R2	0	0	
m00240c	1,2-diacylglycerol-LD-TAG pool	1,2-diacylglycerol-LD-TAG pool	C3H6ORCO2R2CO2	C5H6O5R2	0	0	
m00240g	1,2-diacylglycerol-LD-TAG pool	1,2-diacylglycerol-LD-TAG pool	C3H6ORCO2R2CO2	C5H6O5R2	0	0	
m00240n	1,2-diacylglycerol-LD-TAG pool	1,2-diacylglycerol-LD-TAG pool	C3H6ORCO2R2CO2	C5H6O5R2	0	0	
m00240r	1,2-diacylglycerol-LD-TAG pool	1,2-diacylglycerol-LD-TAG pool	C3H6ORCO2R2CO2	C5H6O5R2	0	0	
m00240s	1,2-diacylglycerol-LD-TAG pool	1,2-diacylglycerol-LD-TAG pool	C3H6ORCO2R2CO2	C5H6O5R2	0	0	
m00240x	1,2-diacylglycerol-LD-TAG pool	1,2-diacylglycerol-LD-TAG pool	C3H6ORCO2R2CO2	C5H6O5R2	0	0	
m00308c	12(S)-HHT	12(S)-HHT	C17H26O3	C17H27O3	-1	-1	
m00308s	12(S)-HHT	12(S)-HHT	C17H26O3	C17H27O3	-1	-1	
m00308x	12(S)-HHT	12(S)-HHT	C17H26O3	C17H27O3	-1	-1	
m00337c	13(S)-HPODE	13(S)-HPODE	C18H30O4	C18H31O4	-1	-1	
m00337s	13(S)-HPODE	13(S)-HPODE	C18H30O4	C18H31O4	-1	-1	
m00337x	13(S)-HPODE	13(S)-HPODE	C18H30O4	C18H31O4	-1	-1	
m00354c	13-HETE	13-HETE	X	C20H31O3	0	-1	
m00403c	16-hydroxyhexadecanoic acid	16-hydroxyhexadecanoic acid	C16H30O3	C16H31O3	-1	-1	
m00403r	16-hydroxyhexadecanoic acid	16-hydroxyhexadecanoic acid	C16H30O3	C16H31O3	-1	-1	
m00403s	16-hydroxyhexadecanoic acid	16-hydroxyhexadecanoic acid	C16H30O3	C16H31O3	-1	-1	
m00403x	16-hydroxyhexadecanoic acid	16-hydroxyhexadecanoic acid	C16H30O3	C16H31O3	-1	-1	
m00411c	17beta-estradiol-2,3-semiquinone	17beta-estradiol-2,3-semiquinone	C18H22O3	C18H23O3	0	0	
m00411l	17beta-estradiol-2,3-semiquinone	17beta-estradiol-2,3-semiquinone	C18H22O3	C18H23O3	0	0	
m00437c	1-acylglycerol-3P-10,13,16-docosa	1-acylglycerol-3P-10,13,16-docosa	C25H37O7P	C25H43O7P	-2	-2	
m00463c	1-acylglycerol-3P-7-tetrade	1-acylglycerol-3P-7-tetrade	C17H33O7P	C17H31O7P	0	-2	
m00490c	1-acylglycerol-3P-LD-TG1 pool (liver tissue)	1-acylglycerol-3P-LD-TG1 pool (liver tissue)	C3H7O2R2CO2	C4H6O7PR	0	-2	
m00511c	1-acyl-PE pool	1-acyl-PE pool	C6H12NO7PR	C6H13NO7PR	-1	0	
m00514c	1-alkyl-2-acylglycerol	1-alkyl-2-acylglycerol	C5H10O2RR2CO2	C4H6O4R2	0	0	
m00515c	1-alkyl-2-acylglycerophosphoethanolamine	1-alkyl-2-acylglycerophosphoethanolamine	C7H16O5NPRR2CO	C6H12NO7PR2	0	0	
m00516c	1-alkyl-2-lysoglycerol-3-phosphocholine	1-alkyl-2-lysoglycerol-3-phosphocholine	C10H21O5NPR	C8H19NO6PR	0	0	
m00516s	1-alkyl-2-lysoglycerol-3-phosphocholine	1-alkyl-2-lysoglycerol-3-phosphocholine	C10H21O5NPR	C8H19NO6PR	0	0	
m00516x	1-alkyl-2-lysoglycerol-3-phosphocholine	1-alkyl-2-lysoglycerol-3-phosphocholine	C10H21O5NPR	C8H19NO6PR	0	0	
m00517c	1-alkyldihydroxyacetone-phosphate	(DELETED)	C3H4O6PRC2H4		-2	0	metabolite is a duplicate and was therefore removed
m00517p	1-alkyldihydroxyacetone-phosphate	(DELETED)	C3H4O6PRC2H4		-2	0	metabolite is a duplicate and was therefore removed
m00531c	1D-myo-inositol-bisdiphosphate-tetrakisphosphate	1D-myo-inositol-bisdiphosphate-tetrakisphosphate	C6H7O24P6	C6H6O30P8	-11	-14	
m00531n	1D-myo-inositol-bisdiphosphate-tetrakisphosphate	1D-myo-inositol-bisdiphosphate-tetrakisphosphate	C6H7O24P6	C6H6O30P8	-11	-14	
m00535c	1-lysolecithin pool	1-lysolecithin pool	C9H20NO7PR	C9H19NO7PR	0	0	
m00549c	1-organyl-2-lyso-sn-glycero-3-phosphocholine	1-organyl-2-lyso-sn-glycero-3-phosphocholine	C10H21O5NPR	C8H19NO6PR	0	0	
m00549s	1-organyl-2-lyso-sn-glycero-3-phosphocholine	1-organyl-2-lyso-sn-glycero-3-phosphocholine	C10H21O5NPR	C8H19NO6PR	0	0	
m00549x	1-organyl-2-lyso-sn-glycero-3-phosphocholine	1-organyl-2-lyso-sn-glycero-3-phosphocholine	C10H21O5NPR	C8H19NO6PR	0	0	
m00551c	1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate	1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate	C9H14O15P3RCO2R2CO2	C11H14O19P3R2	-5	-5	
m00551n	1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate	1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate	C9H14O15P3RCO2R2CO2	C11H14O19P3R2	-5	-5	
m00551r	1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate	1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate	C9H14O15P3RCO2R2CO2	C11H14O19P3R2	-5	-5	
m00552c	1-phosphatidyl-1D-myo-inositol-3-phosphate	1-phosphatidyl-1D-myo-inositol-3-phosphate	C9H15O12P2RCO2R2CO2	C11H15O16P2R2	-3	-3	
m00552g	1-phosphatidyl-1D-myo-inositol-3-phosphate	1-phosphatidyl-1D-myo-inositol-3-phosphate	C9H15O12P2RCO2R2CO2	C11H15O16P2R2	-3	-3	
m00552n	1-phosphatidyl-1D-myo-inositol-3-phosphate	1-phosphatidyl-1D-myo-inositol-3-phosphate	C9H15O12P2RCO2R2CO2	C11H15O16P2R2	-3	-3	
m00552r	1-phosphatidyl-1D-myo-inositol-3-phosphate	1-phosphatidyl-1D-myo-inositol-3-phosphate	C9H15O12P2RCO2R2CO2	C11H15O16P2R2	-3	-3	
m00553c	1-phosphatidyl-1D-myo-inositol-4-phosphate	1-phosphatidyl-1D-myo-inositol-4-phosphate	C9H15O12P2RCO2R2CO2	C11H15O16P2R2	-3	-3	
m00553n	1-phosphatidyl-1D-myo-inositol-4-phosphate	1-phosphatidyl-1D-myo-inositol-4-phosphate	C9H15O12P2RCO2R2CO2	C11H15O16P2R2	-3	-3	
m00553r	1-phosphatidyl-1D-myo-inositol-4-phosphate	1-phosphatidyl-1D-myo-inositol-4-phosphate	C9H15O12P2RCO2R2CO2	C11H15O16P2R2	-3	-3	
m00560c	1-radyl-2-acyl-sn-glycero-3-phosphocholine	1-radyl-2-acyl-sn-glycero-3-phosphocholine	C10H20O5NPRR2CO	C9H18NO7PR2	0	0	
m00561c	2-(alpha-hydroxyethyl)thiamine-diphosphate	2-(alpha-hydroxyethyl)thiamine-diphosphate	C14H20N4O8P2S	C14H20N4O8P2S	-3	-2	
m00577c	2,6-dimethylheptanoyl-carnitine	2,6-dimethylheptanoyl-carnitine	C16H35NO4	C16H31NO4	0	0	
m00577m	2,6-dimethylheptanoyl-carnitine	2,6-dimethylheptanoyl-carnitine	C16H35NO4	C16H31NO4	0	0	
