	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
				aspartate[c]	1	1	ubiquinol[m]	1	1								
				ubiquinone[m]	1	1	H+[c]	5	5								
				glucose[c]	1	1	Pi[c]	2	2								
				H2O[c]	1	1	ADP[c]	5	5								
				ATP[c]	6	6	PPi[c]	1	1								
				NADP+[c]	2	2	CO2[c]	2	2								
				thioredoxin[c]	1	1	NADPH[c]	2	2								
							AMP[c]	1	1								
							oxidized thioredoxin[c]	1	1								
	17	Deoxythymidine triphosphate synthesis (dTTP)		glutamine[c]	1	1	glutamate[c]	1	1								
				HCO3-[c]	1	1	dTTP[c]	1	1								
				aspartate[c]	1	1	ubiquinol[m]	1	1								
				ubiquinone[m]	1	1	H+[c]	6	6								
				glucose[c]	1	1	Pi[c]	3	3								
				H2O[c]	2	2	ADP[c]	6	6								
				ATP[c]	7	7	PPi[c]	1	1								
				NADP+[c]	2	2	CO2[c]	2	2								
				thioredoxin[c]	1	1	NADPH[c]	2	2								
				5,10-methylene-THF[c]	1	1	AMP[c]	1	1								
							oxidized thioredoxin[c]	1	1								
							dihydrofolate[c]	1	1								
	18	AMP salvage from adenine		PRPP[c]	1	1	PPi[c]	1	1								
				adenine[c]	1	1	AMP[c]	1	1								
	19	IMP salvage from hypoxanthine		hypoxanthine[c]	1	1	IMP[c]	1	1								
				PRPP[c]	1	1	PPi[c]	1	1								
	20	GMP salvage from guanine		guanine[c]	1	1	GMP[c]	1	1								
				PRPP[c]	1	1	PPi[c]	1	1								
	21	3'-Phospho-5'-adenylyl sulfate synthesis		sulfate[c]	1	1	PAPS[c]	1	1								
				ATP[c]	2	2	ADP[c]	1	1								
				H+[c]	1	1	PPi[c]	1	1								
	22	Degradation of adenine to urate		adenine[c]	1	1	urate[e]	1	1								
				H2O[c]	2	2	NH4+[c]	1	1								
				H+[c]	1	1	H2O2[e]	2	2								
				O2[e]	2	2	ribose-1-phosphate[c]	1	1								
				PRPP[c]	1	1	PPi[c]	1	1								
				H2O[e]	2	2											
	23	Degradation of guanine to urate		guanine[c]	1	1	urate[e]	1	1								
				H2O[e]	1	1	NH4+[c]	1	1								
				H2O[c]	1	1	NADH[e]	1	1								
				NAD+[e]	1	1	H+[e]	0	1								
	24	Degradation of cytosine		cytosine[c]	1	1	beta-alanine[c]	1	1								
				H2O[c]	3	3	CO2[c]	1	1								
				H+[c]	3	3	NH4+[c]	2	2								
				NADPH[c]	1	1	NADP+[c]	1	1								
	25	Degradation of uracil		uracil[c]	1	1	beta-alanine[c]	1	1								
				H2O[c]	2	2	CO2[c]	1	1								
				H+[c]	2	2	NH4+[c]	1	1								
				NADPH[c]	1	1	NADP+[c]	1	1								
	26	Gluconeogenesis from pyruvate		pyruvate[c]	2	2	glucose[c]	1	1								
				citrate[c]	2	2	citrate[m]	2	2								
				NADH[c]	2	2	NAD+[c]	2	2								
				GTP[m]	2	2	GDP[m]	2	2								
				HCO3-[m]	2	2	CO2[m]	2	2								
				ATP[m]	2	2	ADP[m]	2	2								
				ATP[c]	2	2	ADP[c]	2	2								
				H2O[c]	3	3	H+[m]	2									
				H2O[r]	1		Pi[m]	2									
				H+[c]	2		Pi[c]	3									
							Pi[r]	1									
	27	Gluconeogenesis from Lactate		L-lactate[m]	2	2	glucose[c]	1	1								
				NAD+[m]	2	2	citrate[m]	2	2								
				ATP[m]	2	2	H+[m]	4									
				HCO3-[m]	2	2	NADH[m]	2	2								
				GTP[m]	2	2	ADP[m]	2	2								
				citrate[c]	2	2	Pi[m]	2									
				H2O[c]	3		CO2[m]	2									
				ATP[c]	2		GDP[m]	2	2								
				H+[c]	2		ADP[c]	2	2								
				NADH[c]	2	2	NAD+[c]	2	2								
				H2O[r]	1		Pi[c]	3									
							Pi[r]	1									
	28	Gluconeogenesis from Glycerol		glycerol[c]	2	2	glucose[c]	1	1								
				ATP[c]	2	2	ADP[c]	2	2								
				NAD+[c]	2	2	NADH[c]	2	2								
				H2O[c]	1		H+[c]	4									
				H2O[r]	1		Pi[c]	1									
							Pi[r]	1									
	29	Gluconeogenesis from Alanine		alanine[c]	2	2	glucose[c]	1	1								
				AKG[c]	2	2	glutamate[c]	2	2								
				citrate[c]	2	2	citrate[m]	2	2								
				NADH[c]	2	2	NAD+[c]	2	2								
				GTP[m]	2	2	GDP[m]	2	2								
				HCO3-[m]	2	2	CO2[m]	2	2								
				ATP[m]	2	2	ADP[m]	2	2								
				ATP[c]	2	2	ADP[c]	2	2								
				H2O[c]	3	3	H+[m]	2									
				H2O[r]	1		Pi[m]	2									
				H+[c]	2		Pi[c]	3									
							Pi[r]	1									
	30	Gluconeogenesis from Glutamine		glutamine[m]	1	1	pyruvate[m]	1	1								
				H2O[m]	3	3	NADH[m]	3	3								
				NAD+[m]	3	3	NH4+[m]	2	2								
				ADP[m]	1	1	H+[m]	1	1								
				Pi[m]	1	1	CO2[m]	2	2								
				FAD[m]	1	1	ATP[m]	1	1								
							FADH2[m]	1	1								
	31	Ethanol to acetaldehyde		ethanol[c]	1	1	acetaldehyde[c]	1	1								
				NAD+[c]	1	1	NADH[c]	1	1								
							H+[c]	1	1								
	32	Glucose to lactate conversion		glucose[c]	1	1	L-lactate[c]	2	2								
				ADP[c]	2	2	ATP[c]	2	2								
				Pi[c]	2	2	H2O[c]	2	2								
	33	Malate to pyruvate conversion		malate[m]	1	1	pyruvate[m]	1	1								
				NAD+[m]	1	1	CO2[m]	1	1								
							NADH[m]	1	1								
	34	Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt)		fructose-6-phosphate[c]	1	1	erythrose-4-phosphate[c]	1	1								
				GAP[c]	1	1	D-xylulose-5-phosphate[c]	1	1								
	35	Synthesis of ribose-5-phosphate		glucose[c]	1	1	ribose-5-phosphate[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				NADP+[c]	2	2	H+[c]	3	3								
				H2O[c]	1	1	NADPH[c]	2	2								
							CO2[c]	1	1								
	36	Synthesis of lactose		glucose[g]	1	1	lactose[g]	1	1								
				UDP-galactose[g]	1	1	UDP[g]	1	1								
							H+[g]	1	1								
	37	Glycogen biosynthesis		NA[c]	1	1	glycogenin G4G7[c]	1	1								
				UDP-glucose[c]	11		H+[c]	11									
							UDP[c]	11									
	38	Glycogen degradation		glycogenin G4G7[c]	1	1	glucose[c]	8									
				Pi[c]	3		NA[c]	1	1								
				H2O[c]	8		glucose-1-phosphate[c]	3									
	39	Fructose degradation (to glucose-3-phosphate)		fructose[c]	1	1	GAP[c]	2	2								
				ATP[c]	2	2	ADP[c]	2	2								
							H+[c]	2	2								
	40	Fructose to glucose conversion (via fructose-6-phosphate)		fructose[c]	1	1	glucose[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				H2O[c]	1	1	H+[c]	1	1								
							Pi[c]	1	1								
	41	UDP-glucose synthesis		glucose[c]	1	1	UDP-glucose[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				UTP[c]	1	1	PPi[c]	1	1								
	42	UDP-galactose synthesis		galactose[c]	1	1	UDP-galactose[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				UTP[c]	1	1	PPi[c]	1	1								
	43	UDP-glucuronate synthesis		glucose[c]	1	1	UDP-glucuronate[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				UTP[c]	1	1	PPi[c]	1	1								
				H2O[c]	1	1	H+[c]	3	3								
				NAD+[c]	2	2	NADH[c]	2	2								
	44	GDP-L-fucose synthesis		6-deoxy-L-galactose[c]	1	1	GDP-L-fucose[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				GTP[c]	1	1	PPi[c]	1	1								
	45	Mannose degradation (to fructose-6-phosphate)		mannose[c]	1	1	fructose-6-phosphate[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
							H+[c]	1	1								
	46	GDP-mannose synthesis		mannose[c]	1	1	GDP-mannose[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				GDP[c]	1	1	Pi[c]	1	1								
	47	UDP-N-acetyl D-galactosamine synthesis		glucose[c]	1	1	UDP-N-acetyl-D-galactosamine[c]	1	1								
				glutamine[c]	1	1	glutamate[c]	1	1								
				acetyl-CoA[c]	1	1	CoA[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				UTP[c]	1	1	PPi[c]	1	1								
							H+[c]	1	1								
	48	CMP-N-acetylneuraminate synthesis		glucose[c]	1	1	CMP-N-acetylneuraminate[c]	1	1								
				glutamine[c]	1	1	glutamate[c]	1	1								
				acetyl-CoA[c]	1	1	CoA[c]	1	1								
				PEP[c]	1	1	ADP[c]	2	2								
				UTP[c]	1	1	PPi[c]	2	2								
				ATP[c]	2	2	H+[c]	3	3								
				H2O[c]	3	3	Pi[c]	2	2								
				CTP[c]	1	1	UDP[c]	1	1								
	49	N-Acetylglucosamine synthesis		glucose[c]	1	1	N-acetylglucosamine[c]	1	1								
				glutamine[c]	1	1	glutamate[c]	1	1								
				acetyl-CoA[c]	1	1	CoA[c]	1	1								
				UTP[c]	1	1	ADP[c]	1	1								
				ATP[c]	1	1	PPi[c]	1	1								
				H2O[c]	1	1	H+[c]	2	2								
							UDP[c]	1	1								
	50	Glucuronate synthesis (via inositol)		glucose[c]	1	1	glucuronate[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				O2[c]	1	1	H+[c]	2	2								
							Pi[c]	1	1								
	51	Glucuronate synthesis (via udp-glucose)		glucose[c]	1	1	glucuronate[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				UTP[c]	1	1	PPi[c]	1	1								
				H2O[c]	2	2	H+[c]	4	4								
				NAD+[c]	2	2	NADH[c]	2	2								
							UDP[c]	1	1								
	52	Synthesis of acetone		glucose[c]	1	1	acetone[m]	1	1								
				NAD+[c]	2	2	NADH[m]	2	2								
				ADP[c]	2	2	NADH[c]	2	2								
				Pi[c]	2	2	CO2[m]	3	3								
				NAD+[m]	2	2	ATP[c]	2	2								
				H2O[m]	1	1	H2O[c]	2	2								
							H+[m]	2	2								
	53	(R)-3-Hydroxybutanoate synthesis		glucose[c]	1	1	(R)-3-hydroxybutanoate[m]	1	1								
				ADP[c]	2	2	ATP[c]	2	2								
				NAD+[c]	2	2	NADH[m]	1	1								
				NAD+[m]	1	1	NADH[c]	2	2								
				Pi[c]	2	2	H2O[c]	2	2								
				H2O[m]	1	1	CO2[m]	2	2								
							H+[m]	2	2								
	54	Synthesis of inositol		glucose[c]	1	1	inositol[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				H2O[c]	1	1	H+[c]	1	1								
							Pi[c]	1	1								
	55	Inositol as input for glucuronate-xylulose pathway		inositol[c]	1	1	D-xylulose-5-phosphate[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				O2[c]	1	1	CO2[c]	1	1								
				NAD+[c]	2	2	NADH[c]	2	2								
				NADPH[c]	2	2	NADP+[c]	2	2								
							H+[c]	1	1								
							H2O[c]	1	1								
	56	Synthesis of phosphatidylinositol from inositol		inositol[c]	1	1	PI pool[c]	1	1								
				CDP-diacylglycerol-LD-PI pool[c]	1	1	H+[c]	1	1								
							CMP[c]	1	1								
	57	Conversion of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate to 1D-myo-inositol 1,4,5-trisphosphate		phosphatidylinositol-4,5-bisphosphate[c]	1	1	D-myo-inositol-1,4,5-trisphosphate[c]	1	1								
				H2O[c]	1	1	1,2-diacylglycerol-LD-TAG pool[c]	1	1								
							H+[c]	6	6								
	58	Starch degradation		starch structure 1[e]	1	1	glucose[e]	11	11								
				H2O[e]	10	10											
	59	Link between glyoxylate metabolism and pentose phosphate pathway (Xylulose to glycolate)		D-xylulose[c]	1	1	glycolate[c]	1	1								
				ATP[c]	1	1	H+[c]	3	3								
				H2O[c]	1	1	DHAP[c]	1	1								
				NAD+[c]	1	1	NADH[c]	1	1								
							ADP[c]	1	1								
	60	Synthesis of methylglyoxal		glucose[c]	1	1	methylglyoxal[c]	2	2								
				ATP[c]	2	2	ADP[c]	2	2								
							Pi[c]	2	2								
							H+[c]	2	2								
	61	Alanine synthesis		glucose[c]	3	3	alanine[c]	2	2								
				ATP[m]	2	2	AKG[c]	2	2								
				ADP[c]	6	6	ATP[c]	6	6								
				NAD+[m]	2	2	ADP[m]	2	2								
				NAD+[c]	6	6	NADH[c]	6	6								
				NH4+[m]	2	2	NADH[m]	2	2								
				HCO3-[m]	2		H2O[c]	6									
				H+[m]	2		CO2[m]	4									
				Pi[c]	6		Pi[m]	2									
							H+[c]	4									
	62	Alanine degradation		alanine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	63	Synthesis of alanine from glutamine		glutamine[c]	1	1	alanine[c]	1	1								
				pyruvate[c]	1	1	AKG[c]	1	1								
				H2O[c]	1	1	NH4+[c]	1	1								
	64	Arginine synthesis		glucose[c]	2	2	arginine[c]	1	1								
				aspartate[c]	1	1	fumarate[c]	1	1								
				NADPH[m]	1	1	AKG[m]	1	1								
				NAD+[c]	4	4	NADH[m]	2	2								
				NAD+[m]	2	2	NADH[c]	4	4								
				ATP[m]	5	5	NADP+[m]	1	1								
				ADP[c]	4	4	ATP[c]	1	1								
				Pi[c]	4	4	ADP[m]	5	5								
				HCO3-[m]	3	3	AMP[c]	1	3								
				NH4+[m]	3	3	Pi[m]	5	5								
							PPi[c]	1	1								
							CO2[m]	4	4								
							H2O[c]	4	4								
							H+[m]	10	10								
							H+[c]	1	1								
	65	Arginine degradation		arginine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			urea[c]										
				H+[c]													
	66	Synthesis of arginine from glutamine		glutamine[m]	2	2	arginine[c]	1	1								
				aspartate[c]	1	1	fumarate[c]	1	1								
				ATP[c]	1	1	ADP[m]	3	3								
				ATP[m]	3	3	H+[c]	1	1								
				HCO3-[m]	1	1	H+[m]	2	2								
				NADPH[m]	1	1	Pi[m]	3	3								
				H2O[m]	2	2	NH4+[m]	1	1								
							AKG[m]	1	1								
							NADP+[m]	1	1								
							AMP[c]	1	1								
							PPi[c]	1	1								
	67	Synthesis of nitric oxide from arginine		arginine[c]	2	2	NO[c]	2	2								
				H+[c]	1	1	H2O[c]	4	4								
				O2[c]	4	4	citrulline[c]	2	2								
				NADPH[c]	3	3	NADP+[c]	3	3								
	68	Synthesis of aspartate from glutamine		glutamine[c]	1	1	aspartate[c]	1	1								
				OAA[c]	1	1	AKG[c]	1	1								
				H2O[c]	1	1	NH4+[c]	1	1								
	69	Synthesis of creatine from arginine		arginine[c]	1	1	creatine[c]	1	1								
				SAM[c]	1	1	SAH[c]	1	1								
				glycine[c]	1	1	ornithine[c]	1	1								
							H+[c]	1	1								
	70	Asparagine synthesis		glucose[c]	1	1	asparagine[c]	1	1								
				FAD[m]	1	1	FADH2[m]	1	1								
				HCO3-[m]	1	4	CO2[m]	3	6								
				NH4+[m]	1	1	NADH[m]	2	2								
				NH4+[c]	1	1	NADH[c]	3	3								
				NAD+[c]	3	3	AMP[c]	1	1								
				NAD+[m]	2	2	PPi[c]	1	3								
				ADP[c]	1	1	H+[m]	2	2								
				Pi[c]	1	1	H+[c]	4	4								
	71	Asparagine degradation		asparagine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	72	Aspartate synthesis		glucose[c]	3	3	aspartate[m]	2	2								
				NAD+[c]	6	6	AKG[m]	2	2								
				ADP[c]	6	6	NADH[c]	6	6								
				Pi[c]	6	6	ATP[c]	6	6								
				H2O[m]	2	2	H2O[c]	6	6								
				NAD+[m]	2	2	CO2[m]	4	4								
				ATP[m]	4	4	NADH[m]	2	2								
				HCO3-[m]	4	4	ADP[m]	4	4								
				NH4+[m]	2	2	Pi[m]	4	4								
							H+[m]	10	10								
							H+[c]	2	2								
	73	Aspartate degradation		aspartate[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	74	Conversion of aspartate to arginine		aspartate[c]	1	1	arginine[c]	1	1								
				citrulline[c]	1	1	fumarate[c]	1	1								
				ATP[c]	1	1	AMP[c]	1	1								
							PPi[c]	1	1								
							H+[c]	1	1								
	75	Conversion of aspartate to beta-alanine		aspartate[c]	1	1	beta-alanine[c]	1	1								
				H+[c]	1	1	CO2[c]	1	1								
	76	Conversion of asparate to asparagine		aspartate[c]	1	1	asparagine[c]	1	1								
				ATP[c]	1	1	AMP[c]	1	1								
				glutamine[c]	1	1	glutamate[c]	1	1								
				H2O[c]	1	1	H+[c]	1	1								
							PPi[c]	1	1								
	77	beta-Alanine synthesis		glucose[c]	1	1	beta-alanine[c]	1	1								
				FAD[m]	1	1	FADH2[m]	1	1								
				NAD+[m]	2	2	CO2[c]	1	1								
				NAD+[c]	3	3	CO2[m]	3	4								
				ADP[c]	2	2	NADH[m]	2	2								
				Pi[c]	2	2	NADH[c]	3	3								
				HCO3-[m]	1	2	ATP[c]	2	3								
				NH4+[m]	1	1	H2O[c]	1	1								
							H+[m]	2	2								
							H+[c]	1	1								
	78	beta-Alanine degradation		beta-alanine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	79	Conversion of carnosine to beta-alanine		carnosine[c]	1	1	beta-alanine[c]	1	1								
				H2O[c]	1	1	histidine[c]	1	1								
	80	Beta-alanine to 3-oxopropanoate		beta-alanine[m]	1	1	3-oxopropanoate[m]	1	1								
				AKG[m]	1	1	glutamate[m]	1	1								
	81	Cysteine synthesis (need serine and methionine)		methionine[c]	1	1	cysteine[c]	1	1								
				glycine[c]	1	1	sarcosine[c]	1	1								
				ATP[c]	2	2	ADP[c]	1	1								
				H2O[c]	2	2	AMP[c]	1	1								
				serine[c]	1	1	Pi[c]	1	1								
							PPi[c]	1	1								
							H+[c]	2	2								
							2-oxobutyrate[c]	1	1								
							NH4+[c]	1	1								
	82	Cysteine degradation		cysteine[e]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]			sulfate[c]										
	83	Synthesis of cysteine from cystine		cystine[c]	1	1	cysteine[c]	2	2								
				GSH[c]	2	2	GSSG[c]	1	1								
	84	Synthesis of taurine from cysteine		cysteine[c]	2	2	taurine[c]	2	2								
				O2[c]	3	3	CO2[c]	2	2								
				H+[c]	4	4											
	85	Glutamate synthesis		glucose[c]	1	1	glutamate[c]	1	1								
				NAD+[c]	2	2	NADH[c]	2	2								
				ADP[c]	2	2	ATP[c]	2	2								
				Pi[c]	2	2	H2O[c]	2	2								
				H2O[m]	1	1	CO2[m]	2	3								
				NAD+[m]	1	1	NADH[m]	1	1								
				ATP[m]	1	1	ADP[m]	1	1								
				HCO3-[m]	1	2	Pi[m]	1	1								
				NH4+[m]	1	1	H+[c]	1	1								
				H+[m]	1	1											
	86	Glutamate degradation		glutamate[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	87	Conversion of glutamate to glutamine		glutamate[c]	1	1	glutamine[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
				NH4+[c]	1	1	H+[c]	1	1								
							Pi[c]	1	1								
	88	Conversion of glutamate to proline		glutamate[m]	1	1	proline[m]	1	1								
				ATP[m]	1	1	ADP[m]	1	1								
				NADPH[m]	2	2	NADP+[m]	2	2								
				H+[m]	2	2	Pi[m]	1	1								
							H2O[m]	1	1								
	89	Conversion of GABA into succinate		4-aminobutyrate[m]	1	1	succinate[m]	1	1								
				AKG[m]	1	1	glutamate[m]	1	1								
				H2O[m]	1	1	H+[m]	2	2								
				NAD+[m]	1	1	NADH[m]										
	90	Glutamine synthesis		glucose[c]	1	1	glutamine[c]	1	1								
				NAD+[c]	2	2	NADH[c]	2	2								
				ADP[c]	1	1	ATP[c]	1	1								
				Pi[c]	1	1	H2O[c]	2	2								
				H2O[m]	1	1	CO2[m]	2	3								
				NAD+[m]	1	1	NADH[m]	1	1								
				ATP[m]	1	1	ADP[m]	1	1								
				HCO3-[m]	1	2	Pi[m]	1	1								
				NH4+[m]	1	1	H+[c]	2	2								
				NH4+[c]													
				H+[m]													
	91	Glutamine degradation		glutamine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	92	Glutaminolysis (glutamine to lactate)		glutamine[m]	1	1	L-lactate[m]	1	1								
				ADP[m]	1	1	ATP[m]	1	1								
				NAD+[m]	2	2	NADH[m]	2	2								
				FAD[m]	1	1	FADH2[m]	1	1								
				Pi[m]	1	1	NH4+[m]	2	2								
				H2O[m]	3	3	CO2[m]	2	2								
	93	Glutathionate synthesis		glutamate[c]	1	1	GSH[c]	1	1								
				cysteine[c]	1	1	ADP[c]	2	2								
				glycine[c]	1	1	H+[c]	2	2								
				ATP[c]	2	2	Pi[c]	2	2								
	94	Glycine synthesis		glucose[c]	1	1	glycine[c]	2	2								
				glutamate[c]	2	2	5,10-methylene-THF[c]	2	2								
				NAD+[c]	4	4	AKG[c]	2	2								
				H2O[c]	2	2	NADH[c]	4	4								
				THF[c]	2	2	H+[c]	6	6								
	95	Glycine degradation		glycine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
