mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID
"m00037p"	"m00037"	"thcholoylcoa"	"C05448"	""	"CHEBI:27403"	"46224536"	""	""	""	"thcholoylcoa"	"MNXM165175;MNXM3395;MNXM560"	"m00037p"
"m00038c"	"m00038"	""	"C05754"	""	""	""	""	""	"HC01597"	"HC01597"	"MNXM28221"	"m00038c"
"m00039m"	"m00039"	"dc2coa"	"C05275"	""	"CHEBI:10723"	"24883423"	"LMFA07050023"	""	"HC01414"	"dc2coa"	"MNXM580"	"m00039m"
"m00039p"	"m00039"	"dc2coa"	"C05275"	""	"CHEBI:10723"	"24883423"	"LMFA07050023"	""	"HC01414"	"dc2coa"	"MNXM580"	"m00039p"
"m00040c"	"m00040"	""	""	""	""	""	""	"CE2242"	""	"CE2242"	"MNXM97615"	"m00040c"
"m00040m"	"m00040"	""	""	""	""	""	""	"CE2242"	""	"CE2242"	"MNXM97615"	"m00040m"
"m00040p"	"m00040"	""	""	""	""	""	""	"CE2242"	""	"CE2242"	"MNXM97615"	"m00040p"
"m00041c"	"m00041"	""	"C05758"	""	""	""	""	""	"HC01601"	"HC01601"	"MNXM23842"	"m00041c"
"m00042m"	"m00042"	"dd2coa"	"C03221"	""	"CHEBI:15471"	"45266564"	"LMFA07050010"	""	"HC01078"	"dd2coa"	"MNXM642"	"m00042m"
"m00042p"	"m00042"	"dd2coa"	"C03221"	""	"CHEBI:15471"	"45266564"	"LMFA07050010"	""	"HC01078"	"dd2coa"	"MNXM642"	"m00042p"
"m00043c"	"m00043"	""	""	""	""	""	""	"CE2243"	""	"CE2243"	"MNXM163905;MNXM22115"	"m00043c"
"m00043m"	"m00043"	""	""	""	""	""	""	"CE2243"	""	"CE2243"	"MNXM163905;MNXM22115"	"m00043m"
"m00043p"	"m00043"	""	""	""	""	""	""	"CE2243"	""	"CE2243"	"MNXM163905;MNXM22115"	"m00043p"
"m00044c"	"m00044"	""	""	""	""	""	""	""	""	"M00044"	""	"m00044c"
"m00044m"	"m00044"	""	""	""	""	""	""	""	""	"M00044"	""	"m00044m"
"m00045c"	"m00045"	""	""	""	""	""	""	""	""	"M00045"	""	"m00045c"
"m00046m"	"m00046"	""	""	""	""	""	""	""	""	"M00046"	"MNXM170113"	"m00046m"
"m00047c"	"m00047"	""	""	""	""	""	""	""	""	"M00047"	""	"m00047c"
"m00048m"	"m00048"	""	""	""	""	""	""	""	""	"M00048"	""	"m00048m"
"m00049c"	"m00049"	""	""	""	""	""	""	""	""	"M00049"	"MNXM114303"	"m00049c"
"m00049p"	"m00049"	""	""	""	""	""	""	""	""	"M00049"	"MNXM114303"	"m00049p"
"m00050c"	"m00050"	""	"C05763"	""	""	""	""	""	"HC01606"	"HC01606"	"MNXM29072"	"m00050c"
"m00051m"	"m00051"	"hdd2coa"	"C05272"	"HMDB06533"	"CHEBI:28935"	"46173176"	"LMFA07050020"	""	"HC01411"	"hdd2coa"	"MNXM581"	"m00051m"
"m00051p"	"m00051"	"hdd2coa"	"C05272"	"HMDB06533"	"CHEBI:28935"	"46173176"	"LMFA07050020"	""	"HC01411"	"hdd2coa"	"MNXM581"	"m00051p"
"m00052c"	"m00052"	""	"C05748"	""	""	""	""	""	"HC01591"	"HC01591"	"MNXM24502"	"m00052c"
"m00053m"	"m00053"	""	"C05271"	""	"CHEBI:28706"	"5280765"	"LMFA07050019"	""	"HC01410"	"hx2coa"	"MNXM753"	"m00053m"
"m00053p"	"m00053"	""	"C05271"	""	"CHEBI:28706"	"5280765"	"LMFA07050019"	""	"HC01410"	"hx2coa"	"MNXM753"	"m00053p"
"m00054c"	"m00054"	""	""	""	""	""	""	""	""	"M00054"	""	"m00054c"
"m00054m"	"m00054"	""	""	""	""	""	""	""	""	"M00054"	""	"m00054m"
"m00055c"	"m00055"	""	""	""	""	""	""	""	""	"M00055"	""	"m00055c"
"m00056m"	"m00056"	""	""	""	""	""	""	""	""	"M00056"	"MNXM170116"	"m00056m"
"m00057c"	"m00057"	"od2coa"	"C16218"	"HMDB06529"	"CHEBI:50570"	"53477850"	"LMFA07050055"	""	""	"od2coa"	"MNXM954"	"m00057c"
"m00057m"	"m00057"	"od2coa"	"C16218"	"HMDB06529"	"CHEBI:50570"	"53477850"	"LMFA07050055"	""	""	"od2coa"	"MNXM954"	"m00057m"
"m00057p"	"m00057"	"od2coa"	"C16218"	"HMDB06529"	"CHEBI:50570"	"53477850"	"LMFA07050055"	""	""	"od2coa"	"MNXM954"	"m00057p"
"m00058c"	"m00058"	""	"C05751"	""	""	""	""	""	"HC01594"	"HC01594"	"MNXM23766"	"m00058c"
"m00059m"	"m00059"	""	"C05276"	""	"CHEBI:27537"	"46173358"	"LMFA07050024"	""	"HC01415"	"HC01415"	"MNXM784"	"m00059m"
"m00059p"	"m00059"	""	"C05276"	""	"CHEBI:27537"	"46173358"	"LMFA07050024"	""	"HC01415"	"HC01415"	"MNXM784"	"m00059p"
"m00060c"	"m00060"	""	""	""	""	""	""	""	""	"M00060"	""	"m00060c"
"m00061m"	"m00061"	""	""	""	""	""	""	""	""	"M00061"	"MNXM146674"	"m00061m"
"m00062c"	"m00062"	""	""	""	""	""	""	""	""	"M00062"	""	"m00062c"
"m00063m"	"m00063"	""	""	""	""	""	""	""	""	"M00063"	"MNXM20340"	"m00063m"
"m00064c"	"m00064"	""	""	""	""	""	""	"CE2245"	""	"CE2245"	"MNXM165192;MNXM97616"	"m00064c"
"m00064p"	"m00064"	""	""	""	""	""	""	"CE2245"	""	"CE2245"	"MNXM165192;MNXM97616"	"m00064p"
"m00065c"	"m00065"	""	"C05760"	""	""	""	""	""	"HC01603"	"HC01603"	"MNXM24297"	"m00065c"
"m00066m"	"m00066"	""	"C05273"	""	"CHEBI:27721"	""	"LMFA07050021"	""	"HC01412"	"HC01412"	"MNXM654"	"m00066m"
"m00066p"	"m00066"	""	"C05273"	""	"CHEBI:27721"	""	"LMFA07050021"	""	"HC01412"	"HC01412"	"MNXM654"	"m00066p"
"m00067c"	"m00067"	""	""	""	""	""	""	""	""	"M00067"	"MNXM163027"	"m00067c"
"m00068c"	"m00068"	""	""	""	""	""	""	""	""	"M00068"	""	"m00068c"
"m00069m"	"m00069"	""	""	""	""	""	""	""	""	"M00069"	""	"m00069m"
"m00070c"	"m00070"	""	""	""	""	""	""	""	""	"M00070"	""	"m00070c"
"m00071m"	"m00071"	""	""	""	""	""	""	""	""	"M00071"	"MNXM170117"	"m00071m"
"m00072m"	"m00072"	""	""	""	""	""	""	"CE2441"	""	"CE2441"	""	"m00072m"
"m00072p"	"m00072"	""	""	""	""	""	""	"CE2441"	""	"CE2441"	""	"m00072p"
"m00073m"	"m00073"	""	""	""	""	""	""	"CE2437"	""	"CE2437"	""	"m00073m"
"m00073p"	"m00073"	""	""	""	""	""	""	"CE2437"	""	"CE2437"	""	"m00073p"
"m00074c"	"m00074"	""	""	""	""	""	""	"CE4835"	""	"CE4835"	"MNXM145822"	"m00074c"
"m00075p"	"m00075"	""	""	""	"CHEBI:20067"	""	"LMFA07050065"	"CE5126"	""	"CE5126"	"MNXM108213;MNXM35866"	"m00075p"
"m00076p"	"m00076"	""	""	""	""	""	""	"CE5936"	""	"CE5936"	""	"m00076p"
"m00077p"	"m00077"	"CE2416"	""	""	""	""	""	"CE2416"	""	""	"MNXM165274"	"m00077p"
"m00078p"	"m00078"	"pristcoa"	""	""	"CHEBI:64039"	""	"LMFA07050064"	"CE5125"	""	"CE5125"	"MNXM30947"	"m00078p"
"m00079p"	"m00079"	""	""	""	""	"53481417"	""	"CE5941"	""	"CE5941"	"MNXM30996"	"m00079p"
"m00080p"	"m00080"	""	""	""	""	"53481419"	""	"CE5935"	""	"CE5935"	"MNXM30997"	"m00080p"
"m00081m"	"m00081"	""	""	""	""	"53481423"	""	"CE2418"	""	"CE2418"	"MNXM31113"	"m00081m"
"m00081p"	"m00081"	""	""	""	""	"53481423"	""	"CE2418"	""	"CE2418"	"MNXM31113"	"m00081p"
"m00082m"	"m00082"	""	""	""	""	"53481428"	""	"CE2420"	""	"CE2420"	"MNXM31119"	"m00082m"
"m00082p"	"m00082"	""	""	""	""	"53481428"	""	"CE2420"	""	"CE2420"	"MNXM31119"	"m00082p"
"m00083m"	"m00083"	""	""	""	""	"53481430"	""	"CE2421"	""	"CE2421"	"MNXM31120"	"m00083m"
"m00083p"	"m00083"	""	""	""	""	"53481430"	""	"CE2421"	""	"CE2421"	"MNXM31120"	"m00083p"
"m00084m"	"m00084"	"citmcoa__L"	"C01011"	"HMDB06345"	"CHEBI:36882"	"53477827"	""	""	""	"citmcoa_L"	"MNXM1251;MNXM163785"	"m00084m"
"m00085c"	"m00085"	""	""	""	""	""	""	""	""	"M00085"	""	"m00085c"
"m00086c"	"m00086"	""	""	""	""	""	""	""	""	"M00086"	""	"m00086c"
"m00087c"	"m00087"	""	""	""	""	""	""	"CE4840"	""	"CE4840"	"MNXM163965"	"m00087c"
"m00088m"	"m00088"	"dd3coa"	"C02944"	""	"CHEBI:27989"	"16061154"	"LMFA07050009"	""	"HC01022"	"dd3coa"	"MNXM14550"	"m00088m"
"m00088p"	"m00088"	"dd3coa"	"C02944"	""	"CHEBI:27989"	"16061154"	"LMFA07050009"	""	"HC01022"	"dd3coa"	"MNXM14550"	"m00088p"
"m00089m"	"m00089"	""	""	""	""	""	""	"CE2442"	""	"CE2442"	""	"m00089m"
"m00089p"	"m00089"	""	""	""	""	""	""	"CE2442"	""	"CE2442"	""	"m00089p"
"m00090p"	"m00090"	""	""	""	""	"53481434"	""	"CE5938"	""	"CE5938"	"MNXM31216"	"m00090p"
"m00091m"	"m00091"	""	""	""	""	""	""	"CE2440"	""	"CE2440"	""	"m00091m"
"m00091p"	"m00091"	""	""	""	""	""	""	"CE2440"	""	"CE2440"	""	"m00091p"
"m00092c"	"m00092"	"dcsptn1crn"	""	""	""	""	""	""	""	"dcsptn1crn"	"MNXM8558"	"m00092c"
"m00092m"	"m00092"	"dcsptn1crn"	""	""	""	""	""	""	""	"dcsptn1crn"	"MNXM8558"	"m00092m"
"m00092r"	"m00092"	"dcsptn1crn"	""	""	""	""	""	""	""	"dcsptn1crn"	"MNXM8558"	"m00092r"
"m00093c"	"m00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093c"
"m00093m"	"m00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093m"
"m00093p"	"m00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093p"
"m00093r"	"m00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093r"
"m00094c"	"m00094"	"dcsptn1"	""	"HMDB13123"	"CHEBI:65136"	"159656"	"LMFA04000064"	""	""	"dcsptn1"	"MNXM11427"	"m00094c"
"m00094l"	"m00094"	"dcsptn1"	""	"HMDB13123"	"CHEBI:65136"	"159656"	"LMFA04000064"	""	""	"dcsptn1"	"MNXM11427"	"m00094l"
"m00094r"	"m00094"	"dcsptn1"	""	"HMDB13123"	"CHEBI:65136"	"159656"	"LMFA04000064"	""	""	"dcsptn1"	"MNXM11427"	"m00094r"
"m00094s"	"m00094"	"dcsptn1"	""	"HMDB13123"	"CHEBI:65136"	"159656"	"LMFA04000064"	""	""	"dcsptn1"	"MNXM11427"	"m00094s"
"m00095c"	"m00095"	"c226coa"	"C16169"	""	"CHEBI:65132"	""	"LMFA07050050"	"CE4827"	""	"CE4827;c226coa"	"MNXM3234;MNXM91778"	"m00095c"
"m00095m"	"m00095"	"c226coa"	"C16169"	""	"CHEBI:65132"	""	"LMFA07050050"	"CE4827"	""	"CE4827;c226coa"	"MNXM3234;MNXM91778"	"m00095m"
"m00095p"	"m00095"	"c226coa"	"C16169"	""	"CHEBI:65132"	""	"LMFA07050050"	"CE4827"	""	"CE4827;c226coa"	"MNXM3234;MNXM91778"	"m00095p"
"m00095r"	"m00095"	"c226coa"	"C16169"	""	"CHEBI:65132"	""	"LMFA07050050"	"CE4827"	""	"CE4827;c226coa"	"MNXM3234;MNXM91778"	"m00095r"
"m00096c"	"m00096"	""	"C02100"	""	""	""	""	""	""	"M00096"	"MNXM92760"	"m00096c"
"m00097s"	"m00097"	"gluala"	"C03740"	"HMDB06248"	"CHEBI:50619"	"440103"	""	""	""	"gluala"	"MNXM59390"	"m00097s"
"m00098c"	"m00098"	""	""	""	""	""	""	"CE2566"	""	"CE2566"	"MNXM162637"	"m00098c"
"m00098p"	"m00098"	""	""	""	""	""	""	"CE2566"	""	"CE2566"	"MNXM162637"	"m00098p"
"m00098r"	"m00098"	""	""	""	""	""	""	"CE2566"	""	"CE2566"	"MNXM162637"	"m00098r"
"m00099m"	"m00099"	""	""	""	""	""	""	"CE0695"	"HC10695"	"CE0695;HC10695"	"MNXM163970"	"m00099m"
"m00099p"	"m00099"	""	""	""	""	""	""	"CE0695"	"HC10695"	"CE0695;HC10695"	"MNXM163970"	"m00099p"
"m00100c"	"m00100"	""	""	""	""	""	""	""	""	"M00100"	""	"m00100c"
"m00100m"	"m00100"	""	""	""	""	""	""	""	""	"M00100"	""	"m00100m"
"m00100r"	"m00100"	""	""	""	""	""	""	""	""	"M00100"	""	"m00100r"
"m00101c"	"m00101"	""	""	""	""	""	"LMFA07050062"	""	""	"M00101"	"MNXM47372;MNXM488534"	"m00101c"
"m00101m"	"m00101"	""	""	""	""	""	"LMFA07050062"	""	""	"M00101"	"MNXM47372;MNXM488534"	"m00101m"
"m00101r"	"m00101"	""	""	""	""	""	"LMFA07050062"	""	""	"M00101"	"MNXM47372;MNXM488534"	"m00101r"
"m00102c"	"m00102"	"tmndnccrn"	""	""	""	""	""	""	""	"tmndnccrn"	"MNXM9158"	"m00102c"
"m00102m"	"m00102"	"tmndnccrn"	""	""	""	""	""	""	""	"tmndnccrn"	"MNXM9158"	"m00102m"
"m00102r"	"m00102"	"tmndnccrn"	""	""	""	""	""	""	""	"tmndnccrn"	"MNXM9158"	"m00102r"
"m00103c"	"m00103"	"tmndnccoa"	"C16165"	""	""	"52922050"	"LMFA07050063"	"CE4813"	""	"tmndnccoa"	"MNXM1449;MNXM2869"	"m00103c"
"m00103m"	"m00103"	"tmndnccoa"	"C16165"	""	""	"52922050"	"LMFA07050063"	"CE4813"	""	"tmndnccoa"	"MNXM1449;MNXM2869"	"m00103m"
"m00103r"	"m00103"	"tmndnccoa"	"C16165"	""	""	"52922050"	"LMFA07050063"	"CE4813"	""	"tmndnccoa"	"MNXM1449;MNXM2869"	"m00103r"
"m00104c"	"m00104"	"lneldc"	""	""	""	"5282457"	"LMFA01030332"	""	""	"lneldc"	"MNXM8844"	"m00104c"
"m00104l"	"m00104"	"lneldc"	""	""	""	"5282457"	"LMFA01030332"	""	""	"lneldc"	"MNXM8844"	"m00104l"
"m00104r"	"m00104"	"lneldc"	""	""	""	"5282457"	"LMFA01030332"	""	""	"lneldc"	"MNXM8844"	"m00104r"
"m00104s"	"m00104"	"lneldc"	""	""	""	"5282457"	"LMFA01030332"	""	""	"lneldc"	"MNXM8844"	"m00104s"
"m00105c"	"m00105"	"lneldccrn"	""	""	""	"53477834"	""	""	""	"lneldccrn"	"MNXM8845"	"m00105c"
"m00105m"	"m00105"	"lneldccrn"	""	""	""	"53477834"	""	""	""	"lneldccrn"	"MNXM8845"	"m00105m"
"m00105r"	"m00105"	"lneldccrn"	""	""	""	"53477834"	""	""	""	"lneldccrn"	"MNXM8845"	"m00105r"
"m00106c"	"m00106"	"lneldccoa"	""	""	""	""	"LMFA07050060"	""	""	"lneldccoa"	"MNXM4036"	"m00106c"
"m00106m"	"m00106"	"lneldccoa"	""	""	""	""	"LMFA07050060"	""	""	"lneldccoa"	"MNXM4036"	"m00106m"
