rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnMAID
"HMR_4365"	"R01518"	"PGM"	"R01518C"	"r0341"	""	"PGM"	"MNXR102547"	"HMR_4365"	"RCR10444"	""	0	"MA_04365"
"HMR_4368"	"R01512"	"PGK"	"R01512C"	"r0337"	""	"PGK"	"MNXR102538"	"HMR_4368"	"RCR10230"	""	0	"MA_04368"
"HMR_4370"	"R01515"	"ACYP"	""	""	""	"ACYP"	"MNXR95410"	"HMR_4370"	"RCR10445"	""	0	"MA_04370"
"HMR_4371"	"R01662"	""	""	""	""	"DPGM"	"MNXR107112"	"HMR_4371"	"RCR11025"	""	0	"MA_04371"
"HMR_4372"	"R01516"	""	""	""	""	"DPGase"	"MNXR107035"	"HMR_4372"	"RCR11026"	""	0	"MA_04372"
"HMR_4373"	"R01061"	"GAPD"	"R01061C"	"r0253"	""	"GAPD"	"MNXR100040"	"HMR_4373"	"RCR11027"	""	0	"MA_04373"
"HMR_4375"	"R01068"	"FBA"	""	"r0256"	""	"FBA"	"MNXR99459"	"HMR_4375"	"RCR14183"	""	0	"MA_04375"
"HMR_4377"	"R00762"	"FBP"	"R00762C"	"r0487"	""	"FBP"	"MNXR106670;MNXR99465"	"HMR_4377"	"RCR14184"	""	0	"MA_04377"
"HMR_4381"	"R00771"	"PGI"	""	"r0192"	""	"PGI"	"MNXR102535;MNXR106678"	"HMR_4381"	"RCR14185"	""	0	"MA_04381"
"HMR_4391"	"R01015"	"TPI"	"R01015C"	"r0243"	""	"TPI"	"MNXR104918"	"HMR_4391"	"RCR14186"	""	0	"MA_04391"
"HMR_4394"	"R00299"	"HEX1"	""	"r0353"	""	"HEX1"	"MNXR100612"	"HMR_4394"	"RCR10145"	""	0	"MA_04394"
"HMR_4396"	"R08639"	"PGMT"	"R00959C"	"r0621"	""	"PGMT"	"MNXR102528;MNXR102548"	"HMR_4396"	"RCR10146"	""	0	"MA_04396"
"HMR_4521"	"R00303"	"G6PPer"	""	"r0396"	""	"G6PPer"	"MNXR99912"	"HMR_4521"	"RCR11028"	""	0	"MA_04521"
"HMR_6410"	"R01699"	""	"R01699M"	"r0383"	""	"r0383"	"MNXR102427;MNXR107129"	"HMR_6410"	"RCR10446"	""	0	"MA_06410"
"HMR_6412"	"R02569"	""	"R02569C"	"r0555"	""	"r0555"	"MNXR102430;MNXR107584"	"HMR_6412"	"RCR14187"	""	0	"MA_06412"
"HMR_7745"	"R01602"	""	""	""	""	"HMR_7745"	"MNXR107082"	"HMR_7745"	"RCR10447"	""	0	"MA_07745"
"HMR_7746"	"R01600"	""	""	""	""	"HMR_7746"	"MNXR107081"	"HMR_7746"	"RCR10448"	""	0	"MA_07746"
"HMR_7747"	"R09086"	""	""	""	""	"HMR_7747"	"MNXR112530"	"HMR_7747"	"RCR10449"	""	0	"MA_07747"
"HMR_7748"	"R02739"	""	""	""	""	"HMR_7748"	"MNXR99911"	"HMR_7748"	"RCR10277"	""	0	"MA_07748"
"HMR_7749"	"R03321"	""	""	""	""	"HMR_7749"	"MNXR99910"	"HMR_7749"	"RCR14188"	""	0	"MA_07749"
"HMR_8360"	""	"CAt7r"	""	""	""	"CAT2p"	"MNXR96461"	"HMR_8360"	"RCR11029"	""	0	"MA_08360"
"HMR_8652"	""	"CBPS"	""	""	""	"CBPPer"	"MNXR96485"	"HMR_8652"	"RCR11030"	""	0	"MA_08652"
"HMR_8757"	""	"ETOHtx"	""	""	""	"ETOHMO"	"MNXR97980"	"HMR_8757"	"RCR11031"	""	0	"MA_08757"
"HMR_3989"	"R00028"	"MALTe"	""	"r0014"	""	"MALTe"	"MNXR101350"	"HMR_3989"	"RCR30246"	""	0	"MA_03989"
"HMR_4122"	"R00286"	"UDPGD"	"R00286C"	"r0092"	""	"UDPGD"	"MNXR105063"	"HMR_4122"	"RCR14189"	""	0	"MA_04122"
"HMR_4837"	"R00010"	"TREHe"	"R00010C"	"r0785"	""	"TREHe"	"MNXR95163"	"HMR_4837"	"RCR30496"	""	0	"MA_04837"
"HMR_5395"	"R03681"	""	""	"r1387"	""	"HMR_5395;GGNG"	""	"HMR_5395"	"RCR14190"	""	0	"MA_05395"
"HMR_5396"	""	"GLGNS1"	""	"r1388"	""	"GLGNS1"	"MNXR100244"	"HMR_5396"	"RCR14191"	""	0	"MA_05396"
"HMR_9727"	""	""	""	""	""	"HMR_9727"	""	"HMR_9727"	"RCR14192"	""	0	"MA_09727"
"HMR_5397"	""	"GLBRAN"	""	"r1389"	""	"GLBRAN"	"MNXR100154"	"HMR_5397"	"RCR11032"	""	0	"MA_05397"
"HMR_5398"	""	"GLPASE1"	""	"r1390"	""	"GLPASE1"	"MNXR100265"	"HMR_5398"	"RCR11033"	""	0	"MA_05398"
"HMR_5399"	""	""	""	"r1391"	""	"r1391"	"MNXR105467"	"HMR_5399"	"RCR11034"	""	0	"MA_05399"
"HMR_5400"	""	""	""	"r1392"	""	"r1392"	"MNXR105468"	"HMR_5400"	"RCR11035"	""	0	"MA_05400"
"HMR_5401"	""	""	""	"r1393"	""	"r1393"	""	"HMR_5401"	"RCR11036"	""	0	"MA_05401"
"HMR_8568"	""	""	"RE0958"	""	""	"RE0958C"	"MNXR103496"	"HMR_8568"	"RCR11037"	""	0	"MA_08568"
"HMR_8569"	""	""	"RE0958"	""	""	"RE0958E"	"MNXR103497"	"HMR_8569"	"RCR30247"	""	0	"MA_08569"
"HMR_8570"	""	""	"RE0951"	""	""	"HMR_8570"	"MNXR158862"	"HMR_8570"	"RCR11038"	""	0	"MA_08570"
"HMR_8571"	""	""	"RE0951"	""	""	"HMR_8571"	"MNXR158863"	"HMR_8571"	"RCR30248"	""	0	"MA_08571"
"HMR_8572"	""	""	"RE0944"	""	""	"HMR_8572;RE0944C"	"MNXR103495"	"HMR_8572"	"RCR11039"	""	0	"MA_08572"
"HMR_8573"	""	""	"RE0944"	""	""	"HMR_8573;RE0944E"	"MNXR145626"	"HMR_8573"	"RCR30249"	""	0	"MA_08573"
"HMR_8574"	""	""	"RE0935"	""	""	"HMR_8574;RE0935C"	"MNXR103491"	"HMR_8574"	"RCR11040"	""	0	"MA_08574"
"HMR_8575"	""	""	"RE0935"	""	""	"HMR_8575;RE0935E"	"MNXR101622"	"HMR_8575"	"RCR30250"	""	0	"MA_08575"
"HMR_8576"	""	""	"RE0926"	""	""	"HMR_8576;RE0926C"	"MNXR103488"	"HMR_8576"	"RCR11041"	""	0	"MA_08576"
"HMR_8577"	""	""	"RE0926"	""	""	"HMR_8577;RE0926E"	"MNXR101621"	"HMR_8577"	"RCR30251"	""	0	"MA_08577"
"HMR_8578"	""	""	"RE0915"	""	""	"HMR_8578;RE0915C"	"MNXR103479"	"HMR_8578"	"RCR11042"	""	0	"MA_08578"
"HMR_8579"	""	""	"RE0915"	""	""	"HMR_8579;RE0915E"	"MNXR101620"	"HMR_8579"	"RCR30252"	""	0	"MA_08579"
"HMR_8581"	""	""	"RE0905"	""	""	"MLTG1e"	""	"HMR_8581"	"RCR30253"	""	0	"MA_08581"
"HMR_8591"	""	"MLTG1"	""	""	""	"MLTG1"	"MNXR101619"	"HMR_8591"	"RCR11043"	""	0	"MA_08591"
"HMR_8592"	""	"MLTG1ly"	""	""	""	"MLTG1ly"	"MNXR101619"	"HMR_8592"	"RCR10450"	""	0	"MA_08592"
"HMR_8580"	""	""	"RE0905"	""	""	"HMR_8580"	""	"HMR_8580"	"RCR11044"	""	0	"MA_08580"
"HMR_8582"	""	""	"RE0446"	""	""	"HMR_8582"	""	"HMR_8582"	"RCR10451"	""	0	"MA_08582"
"HMR_8587"	"R00028"	"MALT"	""	""	""	"MALT"	"MNXR101350"	"HMR_8587"	"RCR10452"	""	0	"MA_08587"
"HMR_8589"	"R00028"	"MALTly"	""	""	""	"MALTly"	"MNXR101350"	"HMR_8589"	"RCR10231"	""	0	"MA_08589"
"HMR_8583"	"R01790"	"AMY1e"	""	""	""	"AMY1e"	"MNXR107171;MNXR95832"	"HMR_8583"	"RCR30254"	""	0	"MA_08583"
"HMR_8584"	""	"O16G2e"	""	""	""	"O16G2e"	"MNXR102084"	"HMR_8584"	"RCR30255"	""	0	"MA_08584"
"HMR_8585"	"R01660"	""	""	""	""	"HMR_8585"	"MNXR107111"	"HMR_8585"	"RCR11045"	""	0	"MA_08585"
"HMR_3944"	"R00289"	"GALUi"	"R00289C"	"r0094"	""	"GALU"	"MNXR100022"	"HMR_3944"	"RCR14193"	""	0	"MA_03944"
"HMR_4128"	"R00291"	"UDPG4E"	"R00291C"	"r0095"	""	"UDPG4E"	"MNXR105057"	"HMR_4128"	"RCR14194"	""	0	"MA_04128"
"HMR_4130"	""	"GALKr"	""	""	""	"GALK"	"MNXR99985"	"HMR_4130"	"RCR10453"	""	0	"MA_04130"
"HMR_4131"	"R00955"	"UGLT"	""	""	""	"UGLT"	"MNXR105090"	"HMR_4131"	"RCR14195"	""	0	"MA_04131"
"HMR_4132"	"R00955"	""	"R00955C"	"r0233"	""	"UGLT"	"MNXR105090"	"HMR_4132"	"RCR14196"	""	0	"MA_04132"
"HMR_4303"	"R00801"	"SUCRe"	"R00801C"	"r0194"	""	"SUCRe"	"MNXR104638"	"HMR_4303"	"RCR30256"	""	0	"MA_04303"
"HMR_4414"	"R01092"	""	"R01092C"	"r0265"	""	"GALK"	"MNXR99985"	"HMR_4414"	"RCR10454"	""	0	"MA_04414"
"HMR_4415"	"R01100"	"LACZe"	"R01100C"	"r0266"	""	"LACZe"	"MNXR101000"	"HMR_4415"	"RCR30497"	""	0	"MA_04415"
"HMR_4416"	"R01104"	""	"R01104C"	"r0627"	""	"r0627"	"MNXR100115"	"HMR_4416"	"RCR30257"	""	0	"MA_04416"
"HMR_4774"	"R03237"	""	"R03237C"	"r0610"	""	"r0610"	"MNXR105355;MNXR108039"	"HMR_4774"	"RCR11046"	""	0	"MA_04774"
"HMR_4775"	"R03239"	""	"R03239C"	"r0611"	""	"r0611"	"MNXR105356;MNXR108041"	"HMR_4775"	"RCR14197"	""	0	"MA_04775"
"HMR_4831"	"R01680"	""	""	""	""	"HMR_4831"	"MNXR107115"	"HMR_4831"	"RCR30498"	""	0	"MA_04831"
"HMR_4832"	"R04783"	""	"R04783C"	"r0737"	""	"r0737"	"MNXR105374;MNXR109113"	"HMR_4832"	"RCR30499"	""	0	"MA_04832"
"HMR_7674"	"R00503"	"UGALGTg"	""	""	""	"UGALGTg"	"MNXR105080"	"HMR_7674"	"RCR11047"	""	0	"MA_07674"
"HMR_8761"	"R02927"	"KHK3"	""	""	""	"HMR_8761"	"MNXR100938"	"HMR_8761"	"RCR11048"	""	0	"MA_08761"
"HMR_8762"	""	"FBP26"	""	""	""	"HMR_8762"	"MNXR99466"	"HMR_8762"	"RCR14198"	""	0	"MA_08762"
"HMR_8764"	"R06114"	"LACZly"	""	""	""	"LACZly"	"MNXR101000"	"HMR_8764"	"RCR10278"	""	0	"MA_08764"
"HMR_8766"	"R01095"	"GALSIDEtl"	""	""	""	"GALOR"	"MNXR100012"	"HMR_8766"	"RCR11049"	""	0	"MA_08766"
"HMR_8767"	"R00502"	"GALt2_2"	""	""	""	"GALT"	"MNXR100027"	"HMR_8767"	"RCR11050"	""	0	"MA_08767"
"HMR_0454"	"R01059"	"TRIOK"	""	"r0252"	""	"TRIOK"	"MNXR104940"	"HMR_0454"	"RCR11051"	""	0	"MA_00454"
"HMR_4297"	"R00757"	"PFK26"	""	"r0188"	""	"PFK26"	"MNXR102508"	"HMR_4297"	"RCR14199"	""	0	"MA_04297"
"HMR_4310"	"R00866"	"KHK"	"R00866C"	"r0206"	""	"KHK"	"MNXR100936"	"HMR_4310"	"RCR11052"	""	0	"MA_04310"
"HMR_4315"	"R00875"	""	""	""	""	"SBTD_D2"	"MNXR104283"	"HMR_4315"	"RCR14200"	""	0	"MA_04315"
"HMR_4316"	"R01787"	""	""	""	""	"SBTR"	"MNXR104287"	"HMR_4316"	"RCR14201"	""	0	"MA_04316"
"HMR_4317"	""	""	"RE2782C"	""	""	"RE2782C"	"MNXR103725"	"HMR_4317"	"RCR14202"	""	0	"MA_04317"
"HMR_4318"	""	""	"RE2783"	""	""	"HMR_4318"	""	"HMR_4318"	"RCR10279"	""	0	"MA_04318"
"HMR_4319"	"R00760"	"HEX7"	""	"r0356"	""	"HEX7"	"MNXR100614"	"HMR_4319"	"RCR14203"	""	0	"MA_04319"
"HMR_4320"	""	""	"RE1508C"	""	""	"RE1508C"	"MNXR103514"	"HMR_4320"	"RCR10232"	""	0	"MA_04320"
"HMR_4356"	"R02568"	"FBA2"	"R02568C"	"r0554"	""	"FBA2"	"MNXR99460"	"HMR_4356"	"RCR14204"	""	0	"MA_04356"
"HMR_4383"	"R00772"	"MAN6PI"	"R00772C"	"r0405"	""	"MAN6PI"	"MNXR101382;MNXR106679"	"HMR_4383"	"RCR14205"	""	0	"MA_04383"
"HMR_4385"	"R01818"	"PMANM"	"R01818C"	"r0404"	""	"PMANM"	"MNXR101729"	"HMR_4385"	"RCR10147"	""	0	"MA_04385"
"HMR_4386"	"R00883"	"MAN1PT2"	"R00883C"	"r0207"	""	"MAN1PT2"	"MNXR101376"	"HMR_4386"	"RCR10455"	""	0	"MA_04386"
"HMR_4387"	"R00885"	""	""	"r0208"	""	"r0208"	"MNXR101375"	"HMR_4387"	"RCR10456"	""	0	"MA_04387"
"HMR_4399"	"R00888"	"GMAND"	"R00888C"	"r0209"	""	"GMAND"	"MNXR100377"	"HMR_4399"	"RCR10457"	""	0	"MA_04399"
"HMR_4400"	"R05692"	""	"R05692C"	"r0782"	""	"r0782"	"MNXR100108;MNXR105384"	"HMR_4400"	"RCR10148"	""	0	"MA_04400"
"HMR_4401"	"R01951"	"F1PGT"	"R01951C"	"r0452"	""	"F1PGT"	"MNXR99061"	"HMR_4401"	"RCR14206"	""	0	"MA_04401"
"HMR_4402"	"R03161"	"FK"	"R03161C"	"r0597"	""	"FK"	"MNXR107992;MNXR99595"	"HMR_4402"	"RCR14207"	""	0	"MA_04402"
"HMR_4403"	"R03163"	""	""	"r0598"	""	"r0598"	"MNXR107994;MNXR99468"	"HMR_4403"	"RCR11053"	""	0	"MA_04403"
"HMR_4490"	"R01326"	"HEX4"	""	"r0359"	""	"HEX4"	"MNXR95795"	"HMR_4490"	"RCR10024"	""	0	"MA_04490"
"HMR_4706"	"R00763"	"FBP26"	""	"r0567"	""	"FBP26"	"MNXR106671;MNXR99466"	"HMR_4706"	"RCR14208"	""	0	"MA_04706"
"HMR_8768"	"R05692"	"GFUCS"	""	""	""	"GFUCS"	"MNXR100108"	"HMR_8768"	"RCR11054"	""	0	"MA_08768"
"HMR_4590"	"R01904"	"XYLUR"	"R01904C"	"r0427"	""	"XYLUR"	"MNXR105265"	"HMR_4590"	"RCR11055"	""	0	"MA_04590"
"HMR_4591"	"R05831"	""	""	"r0784"	""	"XYLTD_Dr;r0784"	"MNXR105262"	"HMR_4591"	"RCR10280"	""	0	"MA_04591"
"HMR_4592"	"R01431"	""	""	""	""	"HMR_4592"	"MNXR105261"	"HMR_4592"	"RCR11056"	""	0	"MA_04592"
"HMR_4593"	"R01896"	""	""	""	""	"XYLTD_Dr;r0784"	"MNXR105262"	"HMR_4593"	"RCR11057"	""	0	"MA_04593"
"HMR_4594"	"R01430"	""	""	""	""	"HMR_4594"	"MNXR105257"	"HMR_4594"	"RCR11058"	""	0	"MA_04594"
"HMR_4595"	"R01639"	""	""	""	""	"XYLK"	"MNXR105255"	"HMR_4595"	"RCR14209"	""	0	"MA_04595"
"HMR_8341"	"R01759"	"ARABR"	""	""	""	"ARABR"	"MNXR95911"	"HMR_8341"	"RCR11059"	""	0	"MA_08341"
"HMR_8342"	"R01903"	"ABTD"	""	""	""	"ABTD"	"MNXR95187"	"HMR_8342"	"RCR11060"	""	0	"MA_08342"
"HMR_8344"	"R01481"	"GULNDer"	""	""	""	"GULNDer"	"MNXR100472"	"HMR_8344"	"RCR11061"	""	0	"MA_08344"
"HMR_8352"	"R02640"	"GULN3D"	""	""	""	"GULN3D"	"MNXR100471"	"HMR_8352"	"RCR11062"	""	0	"MA_08352"
"HMR_8353"	"R01905"	"DHAPAx"	""	""	""	"DGULND"	"MNXR97362"	"HMR_8353"	"RCR11063"	""	0	"MA_08353"
"HMR_8726"	"R01526"	"RBK_Dr"	""	""	""	"RBK_D"	"MNXR103432"	"HMR_8726"	"RCR11064"	""	0	"MA_08726"
"HMR_8727"	""	"UDPG1P"	""	""	""	"UDPG1P"	"MNXR105055"	"HMR_8727"	"RCR10458"	""	0	"MA_08727"
"HMR_8728"	""	"GUR1PP"	""	""	""	"GUR1PP"	"MNXR100480"	"HMR_8728"	"RCR10459"	""	0	"MA_08728"
"HMR_8729"	"R08615"	"UDPGNP"	""	""	""	"UDPGNP"	"MNXR105069"	"HMR_8729"	"RCR10085"	""	0	"MA_08729"
"HMR_6537"	"R01481"	""	"RE0383C"	""	""	"RE0383C"	"MNXR100472"	"HMR_6537"	"RCR11065"	""	0	"MA_06537"
"HMR_1568"	"R00710"	"ALDD2x"	"R00710C"	"r0176"	""	"ALDD2x"	"MNXR95749"	"HMR_1568"	"RCR10149"	""	0	"MA_01568"
"HMR_3853"	"R02530"	"LGTHL"	""	""	""	"LGTHL"	"MNXR100355"	"HMR_3853"	"RCR11066"	""	0	"MA_03853"
"HMR_3854"	"R02531"	""	""	""	""	"ALCD22_L"	"MNXR95715"	"HMR_3854"	"RCR11067"	""	0	"MA_03854"
"HMR_3855"	"R02577"	""	""	""	""	"HMR_3855"	"MNXR107414"	"HMR_3855"	"RCR11068"	""	0	"MA_03855"
"HMR_3857"	"R01736"	"GLYOX"	""	""	""	"GLYOX"	"MNXR100353"	"HMR_3857"	"RCR11069"	""	0	"MA_03857"
"HMR_3859"	"R00197"	"D_LACDcm"	""	""	""	"HMR_3859"	"MNXR106428"	"HMR_3859"	"RCR21043"	""	0	"MA_03859"
"HMR_4087"	"R00214"	"ME1m"	"R00214C"	"r0057"	""	"ME1m"	"MNXR101446"	"HMR_4087"	"RCR10281"	""	0	"MA_04087"
"HMR_4089"	"R00216"	"ME2"	"R00216C"	"r0058"	""	"ME2"	"MNXR101443"	"HMR_4089"	"RCR11070"	""	0	"MA_04089"
"HMR_4091"	"R00216"	"ME2m"	"R00216C"	"r0059"	""	"ME2m"	"MNXR101443"	"HMR_4091"	"RCR10282"	""	0	"MA_04091"
"HMR_4093"	"R00227"	"ACOAH"	"R00227C"	"r0061"	""	"ACOAHi"	"MNXR95363"	"HMR_4093"	"RCR10003"	""	0	"MA_04093"
"HMR_4095"	"R00227"	"ACOAHim"	"R00227C"	"r0062"	""	"r0062"	"MNXR95363"	"HMR_4095"	"RCR10150"	""	0	"MA_04095"
"HMR_4101"	"R00431"	"PEPCK_re"	"R00431C"	"r0123"	""	"PEPCK"	"MNXR102487"	"HMR_4101"	"RCR10283"	""	0	"MA_04101"
"HMR_4103"	"R00431"	"PEPCKm"	"R00431C"	"r0124"	""	"PEPCKm"	"MNXR102487"	"HMR_4103"	"RCR11071"	""	0	"MA_04103"
"HMR_4143"	"R00344"	"PCm"	"R00344C"	"r0106"	""	"PCm"	"MNXR102391"	"HMR_4143"	"RCR11072"	""	0	"MA_04143"
"HMR_4193"	"R00572"	""	""	"r0153"	""	"r0153"	"MNXR103373"	"HMR_4193"	"RCR11073"	""	0	"MA_04193"
"HMR_8497"	"R02528"	"ALR2"	""	""	""	"ALR2"	"MNXR95788"	"HMR_8497"	"RCR11074"	""	0	"MA_08497"
"HMR_8498"	""	"ACTNMO"	""	""	""	"ACTNMO"	"MNXR95423"	"HMR_8498"	"RCR11075"	""	0	"MA_08498"
"HMR_8499"	""	"ACTLMO"	""	""	""	"ACTLMO"	"MNXR95422"	"HMR_8499"	"RCR11076"	""	0	"MA_08499"
"HMR_8500"	""	"ALR3"	""	""	""	"ALR3"	"MNXR95789"	"HMR_8500"	"RCR11077"	""	0	"MA_08500"
"HMR_8501"	""	"LALDD"	""	""	""	"HMR_8501"	"MNXR101007"	"HMR_8501"	"RCR11078"	""	0	"MA_08501"
"HMR_8502"	"R03082"	"LALDO"	""	""	""	"LALDO"	"MNXR101009"	"HMR_8502"	"RCR10284"	""	0	"MA_08502"
"HMR_8503"	""	"LCADi"	""	""	""	"LCADi"	"MNXR101018"	"HMR_8503"	"RCR11079"	""	0	"MA_08503"
"HMR_8504"	"R01735"	"LCADi_D"	""	""	""	"LCADi_D"	"MNXR101019"	"HMR_8504"	"RCR11080"	""	0	"MA_08504"
"HMR_8506"	""	"LCADm"	""	""	""	"LCADim"	"MNXR101018"	"HMR_8506"	"RCR11081"	""	0	"MA_08506"
"HMR_8507"	""	"ALCD21_D"	""	""	""	"ALCD21_D;PPDOx"	"MNXR95713"	"HMR_8507"	"RCR10151"	""	0	"MA_08507"
"HMR_8508"	""	"LCARS"	""	""	""	"ALCD21_L"	"MNXR95714"	"HMR_8508"	"RCR11082"	""	0	"MA_08508"
"HMR_8509"	""	"PPDOy"	""	""	""	"PPDOy"	"MNXR103108"	"HMR_8509"	"RCR11083"	""	0	"MA_08509"
"HMR_8511"	"R01736"	"GLYOXm"	""	""	""	"GLYOXm"	"MNXR100353"	"HMR_8511"	"RCR11084"	""	0	"MA_08511"
"HMR_8512"	"R00704"	"LDH_D"	""	""	""	"LDH_D"	"MNXR101037"	"HMR_8512"	"RCR11085"	""	0	"MA_08512"
"HMR_8514"	"R00196"	"L_LACDcm"	""	""	""	"L_LACDcm"	""	"HMR_8514"	"RCR21044"	""	0	"MA_08514"
"HMR_8516"	"R01016"	"MGSA"	""	""	""	"MGSA"	"MNXR101551"	"HMR_8516"	"RCR14210"	""	0	"MA_08516"
"HMR_8517"	"R01016"	"MGSA2"	""	""	""	"MGSA2"	"MNXR101551;MNXR101552"	"HMR_8517"	"RCR11086"	""	0	"MA_08517"
"HMR_4280"	"R00703"	"LDH_Lm"	"R00703C"	"r0172"	""	"LDH_Lm"	"MNXR101040"	"HMR_4280"	"RCR11087"	""	0	"MA_04280"
"HMR_0153"	"R00925"	"ACS2"	""	"r0218"	""	"ACS2"	"MNXR106753;MNXR95222"	"HMR_0153"	"RCR10460"	""	0	"MA_00153"
"HMR_3212"	"R00924"	"PPCOAOm"	""	""	""	"PPCOAOm"	"MNXR103101"	"HMR_3212"	"RCR11088"	""	0	"MA_03212"
"HMR_3797"	"R00925"	"ACCOALm"	""	"r0219"	""	"ACCOALm"	"MNXR106753;MNXR95222"	"HMR_3797"	"RCR14211"	""	0	"MA_03797"
"HMR_3800"	""	"OBDHm"	""	"r1154"	""	"r1154"	"MNXR102133"	"HMR_3800"	"RCR10461"	""	0	"MA_03800"
"HMR_4105"	"R00233"	"MCD"	""	"r0063"	""	"MCD"	"MNXR101412"	"HMR_4105"	"RCR10285"	""	0	"MA_04105"
"HMR_4106"	"R00233"	"MCDm"	""	"r0064"	""	"MCDm"	"MNXR101412"	"HMR_4106"	"RCR11089"	""	0	"MA_04106"
"HMR_4107"	"R00233"	"MCDp"	""	"r0065"	""	"MCDp"	"MNXR101412"	"HMR_4107"	"RCR14212"	""	0	"MA_04107"
"HMR_4282"	"R00705"	"MMSAD3m"	"R00705M"	"r0174"	""	"MMSAD3m"	"MNXR101665"	"HMR_4282"	"RCR10462"	""	0	"MA_04282"
"HMR_4331"	"R00926"	""	"R00926C"	"r0220"	""	"r0220"	"MNXR105315;MNXR106754"	"HMR_4331"	"RCR11090"	""	0	"MA_04331"
"HMR_4459"	"R01354"	""	"R01354C"	"r0318"	""	"r0318"	"MNXR105322;MNXR106947"	"HMR_4459"	"RCR11091"	""	0	"MA_04459"
"HMR_4460"	"R01354"	""	"R01354C"	"r0319"	""	"r0319"	"MNXR105322;MNXR106947"	"HMR_4460"	"RCR14213"	""	0	"MA_04460"
"HMR_4464"	"R01366"	"ADCim"	""	"r0325"	""	"ADCim"	"MNXR95442"	"HMR_4464"	"RCR11092"	""	0	"MA_04464"
"HMR_4497"	"R01608"	""	""	"r0365"	""	"r0365"	"MNXR94902"	"HMR_4497"	"RCR10463"	""	0	"MA_04497"
"HMR_4741"	"R03158"	""	"R03158M"	"r0596"	""	"r0596"	"MNXR94900"	"HMR_4741"	"RCR10464"	""	0	"MA_04741"
"HMR_8078"	"R00931"	"MCITS"	""	""	""	"MCITS"	"MNXR101417"	"HMR_8078"	"RCR11093"	""	0	"MA_08078"
"HMR_9803"	"R00744"	""	""	""	""	"HMR_9803"	"MNXR102146"	"HMR_9803"	"RCR11094"	""	0	"MA_09803"
"HMR_9804"	"R04919"	""	""	""	""	"HMR_9804"	"MNXR100685"	"HMR_9804"	"RCR11095"	""	0	"MA_09804"
